 15
 39 0.4320901437146291
 2.500000000000000E-02 (554.7999877929687,-37.59999847412109) 5.000000000000000E-02 2.500000000000000E-02
 3.570154000000000E-02 (547.5999755859375,-36.90000152587891) 5.000000000000000E-02 2.500000000000000E-02
 5.000000000000000E-02 (568.0999755859375,-35.13000106811523) 5.000000000000000E-02 2.500000000000000E-02
 7.137759000000000E-02 (620.9000244140625,-33.22000122070313) 5.000000000000000E-02 2.500000000000000E-02
 9.990010000000001E-02 (695.7999877929687,-31.90999984741211) 5.000000000000000E-02 2.500000000000000E-02
 0.1427959000000000 (801.0000000000000,-31.11000061035156) 5.000000000000000E-02 2.500000000000000E-02
 0.1998801000000000 (930.2999877929687,-31.07999992370605) 5.000000000000000E-02 2.500000000000000E-02
 0.2857143000000000 (1100.000000000000,-32.33000183105469) 5.000000000000000E-02 2.500000000000000E-02
 0.4000000000000000 (1268.000000000000,-35.02999877929687) 5.000000000000000E-02 2.500000000000000E-02
 0.5714286000000000 (1398.000000000000,-39.22999954223633) 5.000000000000000E-02 2.500000000000000E-02
 0.8000000000000000 (1429.000000000000,-43.54999923706055) 5.000000000000000E-02 2.500000000000000E-02
 1.142857000000000 (1371.000000000000,-47.38000106811523) 5.000000000000000E-02 2.500000000000000E-02
 1.600000000000000 (1273.000000000000,-49.83000183105469) 5.000000000000000E-02 2.500000000000000E-02
 2.285714000000000 (1164.000000000000,-51.33000183105469) 5.000000000000000E-02 2.500000000000000E-02
 3.200000000000000 (1065.000000000000,-51.93000030517578) 5.000000000000000E-02 2.500000000000000E-02
 4.570384000000000 (973.5999755859375,-51.75000000000000) 5.000000000000000E-02 2.500000000000000E-02
 6.402049000000000 (907.2999877929687,-50.95000076293945) 5.000000000000000E-02 2.500000000000000E-02
 9.140768000000000 (861.4000244140625,-49.79000091552734) 5.000000000000000E-02 2.500000000000000E-02
 12.80000000000000 (834.5000000000000,-48.77999877929687) 5.000000000000000E-02 2.500000000000000E-02
 18.28588000000000 (812.7999877929687,-47.79999923706055) 5.000000000000000E-02 2.500000000000000E-02
 25.60033000000000 (799.7000122070313,-46.70000076293945) 5.000000000000000E-02 2.500000000000000E-02
 40.00000000000000 (807.4000244140625,-44.63000106811523) 5.000000000000000E-02 2.500000000000000E-02
 53.33333000000000 (844.2999877929687,-45.08000183105469) 5.000000000000000E-02 2.500000000000000E-02
 80.00000000000000 (875.2000122070313,-46.43999862670898) 5.000000000000000E-02 2.500000000000000E-02
 106.6701000000000 (885.0999755859375,-47.86999893188477) 5.000000000000000E-02 2.500000000000000E-02
 160.0000000000000 (872.5000000000000,-50.56999969482422) 5.000000000000000E-02 2.500000000000000E-02
 213.3288000000000 (837.7000122070313,-52.68999862670898) 5.000000000000000E-02 2.500000000000000E-02
 320.0000000000000 (763.4000244140625,-55.29999923706055) 5.000000000000000E-02 2.500000000000000E-02
 426.6758000000000 (706.2999877929687,-56.83000183105469) 5.000000000000000E-02 2.500000000000000E-02
 640.0000000000000 (627.2999877929688,-58.90999984741211) 5.000000000000000E-02 2.500000000000000E-02
 853.3151000000000 (569.5999755859375,-60.47000122070313) 5.000000000000000E-02 2.500000000000000E-02
 1280.000000000000 (484.2999877929687,-62.58000183105469) 5.000000000000000E-02 2.500000000000000E-02
 1706.689000000000 (424.1000061035156,-63.75000000000000) 5.000000000000000E-02 2.500000000000000E-02
 2559.967000000000 (348.5000000000000,-64.62999725341797) 5.000000000000000E-02 2.500000000000000E-02
 3413.319000000000 (306.3999938964844,-64.77999877929687) 5.000000000000000E-02 2.500000000000000E-02
 5120.066000000000 (263.8999938964844,-65.20999908447266) 5.000000000000000E-02 2.500000000000000E-02
 6826.871000000000 (240.6000061035156,-66.40000152587891) 5.000000000000000E-02 2.500000000000000E-02
 10240.03000000000 (206.1999969482422,-69.73999786376953) 5.000000000000000E-02 2.500000000000000E-02
