11
20            1.0000
3.200000E+02  (    862.48,    -58.90)    0.0224    0.0112
4.266699E+02  (    814.67,    -60.10)    0.0235    0.0117
6.400000E+02  (    751.34,    -62.80)    0.0188    0.0094
8.533297E+02  (    611.35,    -63.90)    0.0167    0.0083
1.280000E+03  (    460.03,    -66.30)    0.0131    0.0065
1.706700E+03  (    441.35,    -67.40)    0.0152    0.0076
2.560000E+03  (    361.19,    -67.40)    0.0141    0.0070
3.413300E+03  (    299.99,    -67.60)    0.0215    0.0107
5.120000E+03  (    200.27,    -65.10)    0.0205    0.0102
6.826698E+03  (    174.13,    -64.70)    0.0189    0.0095
1.024000E+04  (    124.62,    -62.50)    0.0231    0.0116
1.365300E+04  (    140.29,    -61.60)    0.0204    0.0102
20            1.0000
2.000000E+01  (   1503.30,    -63.00)    0.0112    0.0056
2.666700E+01  (   1321.20,    -63.20)    0.0225    0.0112
4.000000E+01  (   1255.80,    -60.20)    0.0156    0.0078
5.333299E+01  (   1091.30,    -58.60)    0.0122    0.0061
8.000000E+01  (   1046.40,    -54.10)    0.0194    0.0097
1.066700E+02  (   1083.70,    -53.00)    0.0174    0.0087
1.600000E+02  (   1149.50,    -51.50)    0.0189    0.0095
2.133300E+02  (   1106.10,    -52.90)    0.0169    0.0085
3.200000E+02  (    965.11,    -54.50)    0.0162    0.0081
4.266699E+02  (    980.75,    -55.90)    0.0117    0.0058
6.400000E+02  (    955.91,    -58.70)    0.0210    0.0105
8.533297E+02  (    829.27,    -61.60)    0.0175    0.0088
1.280000E+03  (    776.55,    -59.00)    0.0382    0.0191
1.706700E+03  (    651.01,    -63.70)    0.0406    0.0203
2.560000E+03  (    546.53,    -67.10)    0.0480    0.0240
3.413300E+03  (    427.13,    -71.30)    0.0600    0.0300
5.120000E+03  (    157.28,    -64.40)    0.0969    0.0485
6.826698E+03  (    243.00,    -46.90)    0.1265    0.0633
1.024000E+04  (    207.35,    -61.50)    0.0886    0.0443
1.365300E+04  (    217.69,    -68.70)    0.1249    0.0625
20            1.0000
2.000000E+01  (     73.68,    -57.80)    0.0308    0.0154
2.666700E+01  (     58.50,    -55.30)    0.0439    0.0220
4.000000E+01  (     53.20,    -62.30)    0.0308    0.0154
5.333299E+01  (     37.89,    -57.90)    0.0373    0.0186
8.000000E+01  (     38.18,    -52.90)    0.0365    0.0183
1.066700E+02  (     37.46,    -50.20)    0.0495    0.0248
1.600000E+02  (     47.17,    -47.90)    0.0500    0.0250
2.133300E+02  (     47.15,    -51.50)    0.0363    0.0181
3.200000E+02  (     48.66,    -49.80)    0.0423    0.0211
4.266699E+02  (     51.94,    -47.90)    0.0357    0.0178
6.400000E+02  (     43.22,    -56.00)    0.0364    0.0182
8.533297E+02  (     44.50,    -55.50)    0.0348    0.0174
1.280000E+03  (     30.89,    -56.80)    0.0289    0.0145
1.706700E+03  (     30.89,    -69.20)    0.0340    0.0170
2.560000E+03  (     34.84,    -66.90)    0.0563    0.0281
3.413300E+03  (     27.70,    -56.90)    0.0638    0.0319
5.120000E+03  (     28.74,    -51.40)    0.0620    0.0310
6.826698E+03  (      7.34,    -71.70)    0.0976    0.0488
1.024000E+04  (     10.28,    -45.70)    0.0818    0.0409
1.365300E+04  (     15.00,    -44.60)    0.0856    0.0428
20            1.0000
2.000000E+01  (    384.62,    -68.00)    0.0226    0.0113
2.666700E+01  (    322.90,    -66.60)    0.0265    0.0132
4.000000E+01  (    293.28,    -65.50)    0.0305    0.0152
5.333299E+01  (    229.30,    -61.10)    0.0272    0.0136
8.000000E+01  (    206.65,    -57.40)    0.0225    0.0112
1.066700E+02  (    206.30,    -56.10)    0.0275    0.0138
1.600000E+02  (    238.10,    -53.10)    0.0256    0.0128
2.133300E+02  (    211.71,    -54.30)    0.0261    0.0130
3.200000E+02  (    145.95,    -62.20)    0.1324    0.0662
4.266699E+02  (    169.01,    -69.70)    0.0813    0.0406
6.400000E+02  (    273.90,    -73.20)    0.1623    0.0812
8.533297E+02  (    156.80,    -64.30)    0.4011    0.2005
1.280000E+03  (    267.79,    -38.40)    0.5187    0.2594
1.706700E+03  (    629.49,    -24.10)    0.6412    0.3206
2.560000E+03  (   1939.10,     10.50)    0.4127    0.2063
3.413300E+03  (    309.64,    -97.50)    0.6761    0.3381
5.120000E+03  (    608.79,    165.90)    0.7351    0.3675
6.826698E+03  (     30.67,     42.30)    0.7149    0.3575
1.024000E+04  (    934.37,     94.60)    0.5856    0.2928
1.365300E+04  (    844.59,     99.50)    0.5649    0.2825
20            1.0000
2.000000E+01  (    352.99,    -66.70)    0.0164    0.0082
2.666700E+01  (    317.30,    -64.80)    0.0175    0.0087
4.000000E+01  (    261.81,    -62.90)    0.0196    0.0098
5.333299E+01  (    236.47,    -59.90)    0.0256    0.0128
8.000000E+01  (    203.78,    -53.30)    0.0193    0.0097
1.066700E+02  (    188.74,    -54.70)    0.0218    0.0109
1.600000E+02  (    169.51,    -53.10)    0.0227    0.0114
2.133300E+02  (    178.04,    -55.00)    0.0270    0.0135
3.200000E+02  (    183.20,    -59.80)    0.0154    0.0077
4.266699E+02  (    162.07,    -56.30)    0.0200    0.0100
6.400000E+02  (    133.32,    -56.70)    0.0168    0.0084
8.533297E+02  (    109.17,    -61.60)    0.0150    0.0075
1.280000E+03  (    123.22,    -64.30)    0.0275    0.0138
1.706700E+03  (     87.28,    -64.80)    0.0309    0.0155
2.560000E+03  (     33.07,    -66.00)    0.4287    0.2143
3.413300E+03  (    320.12,   -101.80)    0.5100    0.2550
5.120000E+03  (   1134.20,    -32.60)    0.4260    0.2130
6.826698E+03  (    670.61,   -111.10)    0.5482    0.2741
1.024000E+04  (    309.72,    -57.80)    0.7123    0.3562
1.365300E+04  (    506.61,   -142.80)    0.5642    0.2821
20            1.0000
2.000000E+01  (    111.35,    -54.60)    0.0257    0.0128
2.666700E+01  (    122.49,    -55.00)    0.0148    0.0074
4.000000E+01  (    120.38,    -51.80)    0.0173    0.0087
5.333299E+01  (    109.04,    -51.40)    0.0163    0.0082
8.000000E+01  (    101.41,    -51.20)    0.0105    0.0052
1.066700E+02  (    115.34,    -55.60)    0.0107    0.0054
1.600000E+02  (    113.12,    -58.50)    0.0149    0.0075
2.133300E+02  (     81.82,    -56.00)    0.0164    0.0082
3.200000E+02  (     76.78,    -59.50)    0.0214    0.0107
4.266699E+02  (     79.67,    -61.30)    0.0140    0.0070
6.400000E+02  (     68.97,    -64.40)    0.0192    0.0096
8.533297E+02  (     50.31,    -69.90)    0.0255    0.0128
1.280000E+03  (     32.07,    -54.60)    0.0484    0.0242
1.706700E+03  (     40.14,    -75.30)    0.0454    0.0227
2.560000E+03  (     41.97,    -84.20)    0.1090    0.0545
3.413300E+03  (     25.06,    -58.20)    0.1504    0.0752
5.120000E+03  (     20.40,    -74.40)    0.0661    0.0330
6.826698E+03  (     25.04,    -86.30)    0.0983    0.0492
1.024000E+04  (      0.05,   -137.50)    0.7195    0.3597
1.365300E+04  (      4.25,    -14.40)    0.2695    0.1347
20            1.0000
2.000000E+01  (    256.07,    -65.00)    0.0235    0.0118
2.666700E+01  (    266.95,    -63.70)    0.0298    0.0149
4.000000E+01  (    275.63,    -59.60)    0.0296    0.0148
5.333299E+01  (    209.97,    -57.50)    0.0291    0.0145
8.000000E+01  (    237.31,    -56.40)    0.0198    0.0099
1.066700E+02  (    211.05,    -59.60)    0.0195    0.0098
1.600000E+02  (    223.27,    -60.30)    0.0303    0.0152
2.133300E+02  (    192.24,    -62.10)    0.0238    0.0119
3.200000E+02  (    151.71,    -62.50)    0.0230    0.0115
4.266699E+02  (    136.56,    -66.20)    0.0331    0.0166
6.400000E+02  (    129.50,    -68.60)    0.0293    0.0147
8.533297E+02  (    112.41,    -67.80)    0.0345    0.0172
1.280000E+03  (     53.85,    -71.20)    0.0317    0.0158
1.706700E+03  (     66.28,    -77.00)    0.0327    0.0163
2.560000E+03  (     47.16,    -71.30)    0.0355    0.0177
3.413300E+03  (     50.56,    -73.90)    0.0231    0.0116
5.120000E+03  (     21.49,    -70.40)    0.0395    0.0198
6.826698E+03  (     16.62,    -65.30)    0.0546    0.0273
1.024000E+04  (      9.77,    -60.80)    0.0749    0.0375
1.365300E+04  (     14.30,    -46.30)    0.1817    0.0908
