           0.1   5.25522e-10    2.2684e+08   1.12111e-09
     0.0888889      0.146402       0.81426      0.312324
     0.0666667        0.8114      0.146918       1.73099
          0.05      0.706363      0.168765       1.50691
        0.0375      0.654336      0.182184       1.39592
         0.025      0.619002      0.192583       1.32054
       0.01875      0.607406       0.19626        1.2958
        0.0125      0.599332      0.198904       1.27858
      0.009375      0.596083      0.199988       1.27164
       0.00625      0.594132      0.200645       1.26748
     0.0046875      0.593669      0.200801       1.26649
      0.003125      0.593111       0.20099        1.2653
    0.00234375      0.592805      0.201094       1.26465
     0.0015625      0.592537      0.201185       1.26408
    0.00117187      0.592472      0.201207       1.26394
    0.00078125       0.59244      0.201217       1.26387
   0.000585937      0.592402       0.20123       1.26379
   0.000390625      0.592358      0.201245        1.2637
   0.000292969        0.5923      0.201265       1.26357
   0.000195313      0.592267      0.201276        1.2635
   0.000146484      0.592316       0.20126       1.26361
    9.7656e-05       0.59222      0.201292        1.2634
    7.3242e-05       0.59228      0.201272       1.26353
    4.8828e-05       0.59228      0.201272       1.26353
    3.6621e-05       0.59227      0.201275       1.26351
    2.4414e-05       0.59222      0.201292        1.2634
    1.8311e-05      0.592268      0.201276        1.2635
    1.2207e-05       0.59223      0.201289       1.26342
    9.1553e-06      0.592217      0.201293        1.2634
    6.1035e-06      0.592208      0.201297       1.26338
    4.5776e-06      0.592204      0.201298       1.26337
