0.100000, 0.000000, 0.000000
0.100000, 0.001268, -44.996800
0.088889, 353131.000000, 120.007000
0.066667, 1957000.000000, 90.001100
0.050000, 1703730.000000, 157.496000
0.037500, 1578400.000000, 28.126900
0.025000, 1493680.000000, -101.246000
0.018750, 1464920.000000, -165.935000
0.012500, 1446090.000000, 129.365000
0.009375, 1437810.000000, -82.968900
0.006250, 1433580.000000, 64.693400
0.004687, 1432260.000000, 138.518000
0.003125, 1430970.000000, -147.659000
0.002344, 1429720.000000, -110.748000
0.001563, 1429580.000000, -73.826700
0.001172, 1429270.000000, -55.365900
0.000781, 1429440.000000, -36.906800
0.000586, 1428680.000000, -27.695000
0.000391, 1428530.000000, -18.462900
0.000293, 1428520.000000, -13.847500
0.000195, 1428490.000000, -9.228900
0.000146, 1428420.000000, -6.924020
0.000098, 1428630.000000, -4.613100
0.000073, 1428610.000000, -3.461250
0.000049, 1429160.000000, -2.306630
0.000037, 1428650.000000, -1.730380
0.000024, 1428290.000000, -1.153780
0.000018, 1429160.000000, -0.864784
0.000012, 1429070.000000, -0.576547
0.000009, 1429040.000000, -0.432617
0.000006, 1429020.000000, -0.288361
0.000005, 1429010.000000, -0.216271
