        0.05    8.7794e+01    1.5750e+02    7.9868e+01    1.5750e+02    1.7038e+06    1.5749e+02    1.6917e+06    1.5750e+02    1.7123e+06    1.5750e+02
      0.0375    8.1334e+01    2.8125e+01    7.3988e+01    2.8127e+01    1.5784e+06    2.8130e+01    1.5670e+06    2.8125e+01    1.5863e+06    2.8126e+01
       0.025    7.6938e+01   -1.0125e+02    6.9984e+01   -1.0125e+02    1.4937e+06   -1.0125e+02    1.4825e+06   -1.0125e+02    1.5008e+06   -1.0125e+02
     0.01875    7.5492e+01   -1.6594e+02    6.8679e+01   -1.6594e+02    1.4659e+06   -1.6594e+02    1.4546e+06   -1.6594e+02    1.4721e+06   -1.6593e+02
      0.0125    7.4499e+01    1.2937e+02    6.7763e+01    1.2938e+02    1.4462e+06    1.2937e+02    1.4349e+06    1.2939e+02    1.4529e+06    1.2938e+02
    0.009375    7.4097e+01   -8.2968e+01    6.7407e+01   -8.2968e+01    1.4378e+06   -8.2969e+01    1.4277e+06   -8.2972e+01    1.4449e+06   -8.2967e+01
     0.00625    7.3853e+01    6.4684e+01    6.7179e+01    6.4690e+01    1.4336e+06    6.4690e+01    1.4227e+06    6.4681e+01    1.4403e+06    6.4684e+01
    0.004687    7.3791e+01    1.3852e+02    6.7132e+01    1.3851e+02    1.4324e+06    1.3851e+02    1.4217e+06    1.3851e+02    1.4391e+06    1.3851e+02
    0.003125    7.3726e+01   -1.4766e+02    6.7065e+01   -1.4766e+02    1.4310e+06   -1.4766e+02    1.4204e+06   -1.4766e+02    1.4381e+06   -1.4766e+02
    0.002344    7.3687e+01   -1.1074e+02    6.7025e+01   -1.1074e+02    1.4307e+06   -1.1074e+02    1.4200e+06   -1.1074e+02    1.4372e+06   -1.1074e+02
    0.001563    7.3656e+01   -7.3824e+01    6.7001e+01   -7.3829e+01    1.4296e+06   -7.3827e+01    1.4191e+06   -7.3831e+01    1.4368e+06   -7.3832e+01
    0.001172    7.3646e+01   -5.5371e+01    6.6997e+01   -5.5373e+01    1.4293e+06   -5.5363e+01    1.4193e+06   -5.5382e+01    1.4365e+06   -5.5371e+01
   0.0007813    7.3642e+01   -3.6913e+01    6.6986e+01   -3.6911e+01    1.4295e+06   -3.6910e+01    1.4185e+06   -3.6922e+01    1.4360e+06   -3.6921e+01
   0.0005859    7.3630e+01   -2.7686e+01    6.6979e+01   -2.7686e+01    1.4296e+06   -2.7680e+01    1.4184e+06   -2.7689e+01    1.4364e+06   -2.7682e+01
   0.0003906    7.3627e+01   -1.8457e+01    6.6974e+01   -1.8454e+01    1.4295e+06   -1.8454e+01    1.4189e+06   -1.8452e+01    1.4359e+06   -1.8458e+01
    0.000293    7.3627e+01   -1.3838e+01    6.6974e+01   -1.3839e+01    1.4295e+06   -1.3838e+01    1.4182e+06   -1.3846e+01    1.4357e+06   -1.3847e+01
   0.0001953    7.3623e+01   -9.2308e+00    6.6967e+01   -9.2288e+00    1.4295e+06   -9.2264e+00    1.4184e+06   -9.2299e+00    1.4356e+06   -9.2314e+00
   0.0001465    7.3616e+01   -6.9211e+00    6.6968e+01   -6.9213e+00    1.4294e+06   -6.9192e+00    1.4183e+06   -6.9206e+00    1.4355e+06   -6.9220e+00
   9.766e-05    7.3619e+01   -4.6140e+00    6.6967e+01   -4.6140e+00    1.4286e+06   -4.6171e+00    1.4186e+06   -4.6134e+00    1.4357e+06   -4.6145e+00
   7.324e-05    7.3614e+01   -3.4602e+00    6.6962e+01   -3.4606e+00    1.4286e+06   -3.4625e+00    1.4186e+06   -3.4602e+00    1.4356e+06   -3.4619e+00
   4.883e-05    7.3620e+01   -2.3066e+00    6.6964e+01   -2.3065e+00    1.4292e+06   -2.3074e+00    1.4181e+06   -2.3076e+00    1.4362e+06   -2.3070e+00
   3.662e-05    7.3614e+01   -1.7297e+00    6.6971e+01   -1.7293e+00    1.4287e+06   -1.7316e+00    1.4186e+06   -1.7301e+00    1.4357e+06   -1.7311e+00
   2.441e-05    7.3615e+01   -1.1535e+00    6.6964e+01   -1.1535e+00    1.4293e+06   -1.1542e+00    1.4183e+06   -1.1538e+00    1.4353e+06   -1.1545e+00
   1.831e-05    7.3618e+01   -8.6470e-01    6.6968e+01   -8.6502e-01    1.4292e+06   -8.6599e-01    1.4182e+06   -8.6543e-01    1.4362e+06   -8.6536e-01
   1.221e-05    7.3614e+01   -5.7644e-01    6.6963e+01   -5.7628e-01    1.4291e+06   -5.7735e-01    1.4181e+06   -5.7698e-01    1.4361e+06   -5.7733e-01
   9.155e-06    7.3612e+01   -4.3230e-01    6.6962e+01   -4.3211e-01    1.4290e+06   -4.3342e-01    1.4180e+06   -4.3274e-01    1.4360e+06   -4.3290e-01
   6.104e-06    7.3611e+01   -2.8807e-01    6.6961e+01   -2.8785e-01    1.4290e+06   -2.8912e-01    1.4180e+06   -2.8858e-01    1.4360e+06   -2.8887e-01
   4.578e-06    7.3611e+01   -2.1600e-01    6.6960e+01   -2.1580e-01    1.4290e+06   -2.1703e-01    1.4180e+06   -2.1645e-01    1.4360e+06   -2.1681e-01
