  1706.7         -0.3171E-03     -0.7025E-03    0.4930E-04   0.989
  2560.0         -0.2119E-03     -0.5828E-03    0.8803E-04   0.816
  3413.3         -0.1649E-03     -0.4390E-03    0.5939E-04   0.833
  5120.0         -0.1590E-03     -0.3568E-03    0.1816E-03   0.468
  6826.7          0.9483E-04     -0.2913E-03    0.1553E-03   0.522
  10240.         -0.1690E-04     -0.2336E-03    0.2413E-03   0.480
  13653.         -0.1028E-03     -0.2542E-03    0.2016E-03   0.645
ZYY SI units (ohms)
   20
  20.000          0.4372E-03      0.1552E-02    0.4868E-03   0.048
  26.667         -0.3166E-03      0.5664E-03    0.3323E-03   0.014
  40.000         -0.6525E-03     -0.7712E-04    0.3271E-03   0.018
  53.333         -0.4649E-03     -0.3280E-03    0.2123E-03   0.020
  80.000         -0.4053E-03     -0.1277E-03    0.2080E-03   0.040
  106.67         -0.2962E-03     -0.4292E-03    0.1414E-03   0.059
  160.00         -0.5850E-04     -0.9441E-05    0.2359E-03   0.002
  213.33         -0.8814E-04     -0.3960E-03    0.1056E-03   0.133
  320.00         -0.3157E-04     -0.1578E-03    0.6356E-04   0.063
  426.67         -0.3084E-04     -0.1345E-03    0.5848E-04   0.094
  640.00         -0.2441E-04     -0.1100E-03    0.4702E-04   0.079
  853.33          0.3379E-04     -0.7730E-05    0.5022E-04   0.006
  1280.0          0.6586E-04      0.3753E-04    0.8338E-04   0.080
  1706.7         -0.5049E-04     -0.5020E-04    0.7105E-04   0.271
  2560.0          0.1585E-03     -0.9615E-04    0.1234E-03   0.167
  3413.3          0.6416E-04      0.3836E-04    0.8194E-04   0.062
  5120.0          0.3105E-04      0.1518E-03    0.2163E-03   0.089
  6826.7         -0.2006E-03     -0.3063E-03    0.2829E-03   0.320
  10240.          0.1287E-03      0.2191E-03    0.4567E-03   0.233
  13653.          0.9773E-03      0.3048E-04    0.3294E-03   0.896
RXX SI units (ohms)
   20
  20.000      1045.8     -131.8  1115.4      978.51     -130.0 -133.7 0.76 0.76
  26.667      1203.5     -132.8  1252.6      1155.3     -131.6 -133.9 0.85 0.85
  40.000      1143.4     -136.7  1213.4      1075.5     -134.9 -138.4 0.82 0.82
  53.333      1233.4     -136.5  1279.2      1188.4     -135.4 -137.5 0.85 0.85
  80.000      1401.4     -136.6  1478.3      1326.6     -135.1 -138.2 0.92 0.92
  106.67      1434.0     -136.3  1488.0      1381.1     -135.2 -137.3 0.92 0.92
  160.00      1553.8     -133.7  1629.5      1480.0     -132.4 -135.1 0.98 0.98
  213.33      1544.8     -132.0  1591.9      1498.5     -131.1 -132.8 0.97 0.97
  320.00      1500.7     -126.9  1552.3      1450.0     -125.9 -127.8 0.98 0.98
  426.67      1447.4     -124.7  1500.8      1395.0     -123.6 -125.7 0.98 0.98
  640.00      1374.8     -121.9  1445.6      1305.6     -120.4 -123.3 0.96 0.96
  853.33      1273.1     -120.2  1342.6      1205.4     -118.7 -121.7 0.96 0.96
  1280.0      993.10     -117.5  1100.8      890.90     -114.4 -120.5 0.97 0.97
  1706.7      938.80     -114.0  1106.6      784.80     -109.1 -118.9 0.98 0.98
  2560.0      919.58     -117.1  1170.2      699.10     -109.8 -124.4 0.84 0.84
  3413.3      643.81     -104.1  780.89      519.95      -98.3 -109.9 0.89 0.89
