# BND RUN WINDOW NP PROCESS
# B   1e2   8192 12 robust_ss
# C     1    256 10 robust_ss
# D     1     64 16 robust_ss bad
>STATION   :bor016a1Dbad
>AZIMUTH   =    -21.0000
>LATITUDE  =     -5.9733
>LONGITUDE =    -37.8888
>ELEVATION =       000.0

ZXX SI units (ohms)
38
    2.0480e+02    1.6434e-03    2.5686e-03    1.5247e-04 1
    2.9257e+02    1.3169e-03    1.9232e-03    1.1654e-04 1
    4.0960e+02    1.1297e-03    1.4253e-03    9.0938e-05 1
ZYX SI units (ohms)
38
    1.1200e-03   -2.4363e+00   -1.2370e+00    1.3662e-01 1
    1.5600e-03   -2.1783e+00   -1.1936e+00    1.2419e-01 1
    2.2300e-03   -1.8983e+00   -1.1465e+00    1.1088e-01 1
    3.1200e-03   -1.6444e+00   -1.0654e+00    9.7968e-02 1
    4.4600e-03   -1.4061e+00   -9.6420e-01    8.5247e-02 1
    6.2500e-03   -1.2056e+00   -8.7237e-01    7.4407e-02 1
    8.9300e-03   -1.0138e+00   -7.7061e-01    6.3671e-02 1
    1.2500e-02   -8.5934e-01   -6.6727e-01    5.4399e-02 1
    1.7860e-02   -7.3086e-01   -5.5857e-01    4.5993e-02 1
    2.5000e-02   -6.4168e-01   -4.6826e-01    3.9718e-02 1
    3.5710e-02   -5.7224e-01   -3.9314e-01    3.4714e-02 1
    5.0000e-02   -5.2080e-01   -3.4470e-01    3.1227e-02 1
    7.1410e-02   -4.6970e-01   -3.1574e-01    2.8298e-02 1
    9.9970e-02   -4.1573e-01   -3.0226e-01    2.5700e-02 1
    1.4281e-01   -3.4935e-01   -2.9147e-01    2.2748e-02 1
    1.9994e-01   -2.8220e-01   -2.7567e-01    1.9725e-02 1
    2.8571e-01   -2.1353e-01   -2.4947e-01    1.6419e-02 1
    4.0000e-01   -1.5754e-01   -2.1691e-01    1.3404e-02 1
    5.7143e-01   -1.1150e-01   -1.7898e-01    1.0543e-02 1
    8.0000e-01   -8.0236e-02   -1.4498e-01    8.2851e-03 1
    1.1429e+00   -5.6913e-02   -1.1370e-01    6.3573e-03 1
    1.6000e+00   -4.1530e-02   -8.9178e-02    4.9187e-03 1
    2.2857e+00   -3.0239e-02   -6.8170e-02    3.7288e-03 1
    3.2000e+00   -2.2788e-02   -5.2581e-02    2.8653e-03 1
    4.5714e+00   -1.7152e-02   -3.9595e-02    2.1575e-03 1
    6.4000e+00   -1.3452e-02   -2.9945e-02    1.6414e-03 1
    9.1429e+00   -1.0930e-02   -2.1998e-02    1.2282e-03 1
