Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 333    Date: 28/04/08    Time: 08:42:59



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On    
+1.0000E-01  +2.0017E-01  +8.8435E+01    
+1.2589E-01  +2.0029E-01  +8.8053E+01    
+1.5849E-01  +2.0030E-01  +8.7536E+01    
+1.9953E-01  +2.0020E-01  +8.6907E+01    
+2.5119E-01  +2.0013E-01  +8.6119E+01    
+3.1623E-01  +1.9980E-01  +8.5136E+01    
+3.9811E-01  +1.9920E-01  +8.3894E+01    
+5.0119E-01  +1.9865E-01  +8.2341E+01    
+6.3095E-01  +1.9763E-01  +8.0390E+01    
+7.9430E-01  +1.9595E-01  +7.7998E+01    
+1.0000E+00  +1.9347E-01  +7.5109E+01    
+1.2589E+00  +1.8978E-01  +7.1490E+01    
+1.5849E+00  +1.8443E-01  +6.7138E+01    
+1.9952E+00  +1.7683E-01  +6.2055E+01    
+2.5119E+00  +1.6653E-01  +5.6314E+01    
+3.1623E+00  +1.5328E-01  +5.0007E+01    
+3.9810E+00  +1.3745E-01  +4.3397E+01    
+5.0118E+00  +1.2024E-01  +3.6950E+01    
+6.3095E+00  +1.0258E-01  +3.0850E+01    
+7.9430E+00  +8.5785E-02  +2.5360E+01    
+1.0000E+01  +7.0585E-02  +2.0636E+01    
+1.2589E+01  +5.7430E-02  +1.6626E+01    
+1.5849E+01  +4.6278E-02  +1.3276E+01    
+1.9952E+01  +3.7158E-02  +1.0584E+01    
+2.5119E+01  +2.9720E-02  +8.3411E+00    
+3.1622E+01  +2.3696E-02  +6.5698E+00    
+3.9810E+01  +1.8873E-02  +5.1292E+00    
+5.0118E+01  +1.5074E-02  +4.2237E+00    
+6.3095E+01  +1.1912E-02  +2.9684E+00    
+7.9430E+01  +9.4916E-03  +2.1180E+00    
+1.0000E+02  +7.5427E-03  +1.3776E+00    
+1.2589E+02  +5.9911E-03  +7.8930E-01    
+1.5849E+02  +4.7670E-03  +6.4462E-02    
+1.9952E+02  +3.7794E-03  -4.0364E-01    
+2.5118E+02  +3.0033E-03  -1.1219E+00    
+3.1622E+02  +2.3846E-03  -1.6898E+00    
+3.9810E+02  +1.8924E-03  -2.4388E+00    
+5.0118E+02  +1.5044E-03  -3.2340E+00    
+6.3094E+02  +1.1928E-03  -4.3049E+00    
+7.9430E+02  +9.4542E-04  -5.7119E+00    
+1.0000E+03  +7.5046E-04  -7.1522E+00    
+1.2589E+03  +5.9425E-04  -9.1141E+00    
+1.5849E+03  +4.6946E-04  -1.1520E+01    
+1.9952E+03  +3.7041E-04  -1.4590E+01    
+2.5118E+03  +2.9117E-04  -1.8370E+01    
+3.1622E+03  +2.2664E-04  -2.3572E+01    
+3.9810E+03  +1.7258E-04  -2.9874E+01    
+5.0117E+03  +1.2484E-04  -3.6824E+01    
+6.3094E+03  +8.9098E-05  -3.9361E+01    
+7.9430E+03  +6.8951E-05  -4.4270E+01    
+9.9995E+03  +5.1713E-05  -5.2856E+01    
+1.0000E+04  +5.1715E-05  -5.2852E+01    
                                         
                              
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8799E-01  +1.1257E+02    
+1.2589E+00  +2.0057E-01  +1.0173E+02    
+1.5849E+00  +2.0483E-01  +9.0509E+01    
+1.9953E+00  +2.0123E-01  +7.9097E+01    
+2.5119E+00  +1.9030E-01  +6.7964E+01    
+3.1623E+00  +1.7320E-01  +5.7449E+01    
+3.9811E+00  +1.5213E-01  +4.7754E+01    
+5.0119E+00  +1.3022E-01  +3.9346E+01    
+6.3095E+00  +1.0882E-01  +3.1996E+01    
+7.9430E+00  +8.9309E-02  +2.5708E+01    
+1.0000E+01  +7.2558E-02  +2.0580E+01    
+1.2589E+01  +5.8469E-02  +1.6431E+01    
+1.5849E+01  +4.6894E-02  +1.2966E+01    
+1.9952E+01  +3.7468E-02  +1.0339E+01    
+2.5119E+01  +2.9885E-02  +8.1881E+00    
+3.1623E+01  +2.3788E-02  +6.4387E+00    
+3.9810E+01  +1.8919E-02  +5.0065E+00    
+5.0118E+01  +1.5100E-02  +3.4619E+00    
+6.3095E+01  +1.1965E-02  +2.8500E+00    
+7.9430E+01  +9.5031E-03  +2.0571E+00    
+1.0000E+02  +7.5556E-03  +1.3801E+00    
+1.2589E+02  +6.0002E-03  +7.5776E-01    
+1.5849E+02  +4.7676E-03  +2.5702E-01    
+1.9952E+02  +3.7844E-03  -4.7569E-01    
+2.5119E+02  +3.0033E-03  -9.3471E-01    
+3.1622E+02  +2.3866E-03  -1.6882E+00    
+3.9810E+02  +1.8941E-03  -2.4339E+00    
+5.0118E+02  +1.5034E-03  -3.2368E+00    
+6.3095E+02  +1.1949E-03  -4.2849E+00    
+7.9430E+02  +9.4777E-04  -5.6902E+00    
+1.0000E+03  +7.5156E-04  -7.1453E+00    
+1.2589E+03  +5.9516E-04  -9.0819E+00    
+1.5849E+03  +4.7085E-04  -1.1521E+01    
+1.9952E+03  +3.7094E-04  -1.4501E+01    
+2.5118E+03  +2.9257E-04  -1.8207E+01    
+3.1622E+03  +2.2714E-04  -2.3607E+01    
+3.9810E+03  +1.7292E-04  -2.9882E+01    
+5.0118E+03  +1.2508E-04  -3.6827E+01    
+6.3094E+03  +8.9330E-05  -3.9360E+01    
+7.9430E+03  +6.9041E-05  -4.4264E+01    
+1.0000E+04  +5.1784E-05  -5.2816E+01    
   
