Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 036    Date: 18/12/06    Time: 14:19:30



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+5.0000E-01  +1.9969E-02  +8.9076E+01    
+6.2946E-01  +1.9985E-02  +8.8854E+01    
+7.9240E-01  +1.9950E-02  +8.8571E+01    
+9.9759E-01  +1.9985E-02  +8.8204E+01    
+1.2559E+00  +1.9971E-02  +8.7838E+01    
+1.5811E+00  +1.9918E-02  +8.7272E+01    
+1.9905E+00  +1.9866E-02  +8.6573E+01    
+2.5059E+00  +1.9789E-02  +8.5696E+01    
+3.1548E+00  +1.9830E-02  +8.4581E+01    
+3.9716E+00  +1.9759E-02  +8.3201E+01    
+5.0000E+00  +1.9621E-02  +8.1510E+01    
+6.2946E+00  +1.9451E-02  +7.9443E+01    
+7.9240E+00  +1.9508E-02  +7.6725E+01    
+9.9760E+00  +1.9148E-02  +7.3350E+01    
+1.2559E+01  +1.8718E-02  +6.9411E+01    
+1.5811E+01  +1.8108E-02  +6.4729E+01    
+1.9905E+01  +1.7136E-02  +5.9225E+01    
+2.5059E+01  +1.5952E-02  +5.3143E+01    
+3.1548E+01  +1.4510E-02  +4.6749E+01    
+3.9716E+01  +1.2842E-02  +4.0145E+01    
+4.9999E+01  +1.0910E-02  +3.1750E+01    
+6.2946E+01  +9.3769E-03  +2.7944E+01    
+7.9240E+01  +7.7630E-03  +2.2803E+01    
+9.9760E+01  +6.2884E-03  +1.8322E+01    
+1.2559E+02  +5.1492E-03  +1.4467E+01    
+1.5811E+02  +4.1423E-03  +1.1273E+01    
+1.9905E+02  +3.3105E-03  +8.8787E+00    
+2.5059E+02  +2.6372E-03  +6.6732E+00    
+3.1547E+02  +2.1013E-03  +4.9348E+00    
+3.9716E+02  +1.6706E-03  +3.4719E+00    
+4.9999E+02  +1.3277E-03  +2.1848E+00    
+6.2945E+02  +1.0563E-03  +9.8457E-01    
+7.9240E+02  +8.3763E-04  -5.5939E-02    
+9.9760E+02  +6.6552E-04  -1.1808E+00    
+1.2559E+03  +5.2864E-04  -2.0985E+00    
+1.5811E+03  +4.1922E-04  -3.6154E+00    
+1.9905E+03  +3.3259E-04  -5.0936E+00    
+2.5059E+03  +2.6370E-04  -6.7807E+00    
+3.1547E+03  +2.0877E-04  -8.8510E+00    
+3.9716E+03  +1.6509E-04  -1.1397E+01    
+4.9999E+03  +1.3019E-04  -1.4552E+01    
+6.2945E+03  +1.0212E-04  -1.8473E+01    
+7.9245E+03  +7.9474E-05  -2.3299E+01    
+9.9760E+03  +6.1034E-05  -2.9191E+01    
+1.2559E+04  +4.5864E-05  -3.6163E+01    
+1.5811E+04  +3.3118E-05  -4.3553E+01    
+1.9905E+04  +2.3381E-05  -4.9447E+01    
+2.5058E+04  +1.6913E-05  -5.3697E+01    
+3.1547E+04  +1.2976E-05  -6.0195E+01    
+3.9715E+04  +9.9112E-06  -7.1649E+01    
+4.9999E+04  +7.1539E-06  -8.6573E+01    
+6.0000E+04  +5.2963E-06  -9.8234E+01    
                                         
                               
 FREQUENCY    MAGNITUDE      PHASE       
