Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: MFS06#051    Date: 26/03/02    Time: 11:46:38


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0056E-01  +8.8510E+01   
+1.2589E-01  +2.0042E-01  +8.8153E+01   
+1.5849E-01  +2.0031E-01  +8.7706E+01   
+1.9953E-01  +2.0023E-01  +8.7159E+01   
+2.5119E-01  +1.9999E-01  +8.6409E+01   
+3.1623E-01  +1.9976E-01  +8.5521E+01   
+3.9811E-01  +1.9924E-01  +8.4398E+01   
+5.0119E-01  +1.9898E-01  +8.2963E+01   
+6.3095E-01  +1.9792E-01  +8.1203E+01   
+7.9430E-01  +1.9648E-01  +7.9024E+01   
+1.0000E+00  +1.9448E-01  +7.6316E+01   
+1.2589E+00  +1.9143E-01  +7.3011E+01   
+1.5849E+00  +1.8705E-01  +6.8980E+01   
+1.9952E+00  +1.8014E-01  +6.4199E+01   
+2.5119E+00  +1.7109E-01  +5.8712E+01   
+3.1623E+00  +1.5889E-01  +5.2546E+01   
+3.9810E+00  +1.4396E-01  +4.6021E+01   
+5.0118E+00  +1.2719E-01  +3.9558E+01   
+6.3095E+00  +1.0999E-01  +3.3443E+01   
+7.9430E+00  +9.2465E-02  +2.7553E+01   
+1.0000E+01  +7.6506E-02  +2.2410E+01   
+1.2589E+01  +6.2438E-02  +1.8194E+01   
+1.5849E+01  +5.0568E-02  +1.4534E+01   
+1.9952E+01  +4.0664E-02  +1.1536E+01   
+2.5119E+01  +3.2538E-02  +9.1940E+00   
+3.1622E+01  +2.6010E-02  +7.2027E+00   
+3.9810E+01  +2.0723E-02  +5.5472E+00   
+5.0118E+01  +1.6092E-02  +3.7745E+00   
+6.3095E+01  +1.3101E-02  +3.1826E+00   
+7.9430E+01  +1.0423E-02  +2.2710E+00   
+1.0000E+02  +8.3155E-03  +1.7022E+00   
+1.2589E+02  +6.5765E-03  +8.1306E-01   
+1.5849E+02  +5.2419E-03  +7.9078E-02   
+1.9952E+02  +4.1559E-03  -4.5812E-01   
+2.5118E+02  +3.3055E-03  -1.3684E+00   
+3.1622E+02  +2.6125E-03  -2.4200E+00   
+3.9810E+02  +2.0659E-03  -2.9580E+00   
+5.0118E+02  +1.6414E-03  -3.8448E+00   
+6.3094E+02  +1.3033E-03  -4.9526E+00   
+7.9430E+02  +1.0335E-03  -6.3590E+00   
+1.0000E+03  +8.1925E-04  -8.1262E+00   
+1.2589E+03  +6.4880E-04  -1.0266E+01   
+1.5849E+03  +5.1358E-04  -1.2869E+01   
+1.9952E+03  +4.1382E-04  -1.6311E+01   
+2.5118E+03  +3.1416E-04  -2.2627E+01   
+3.1622E+03  +2.4060E-04  -2.7914E+01   
+3.9810E+03  +1.7781E-04  -3.5366E+01   
+5.0117E+03  +1.1809E-04  -4.0407E+01   
+6.3094E+03  +9.0655E-05  -3.7588E+01   
+7.9430E+03  +7.2843E-05  -4.5366E+01   
+9.9995E+03  +5.3996E-05  -5.5775E+01   
+1.0000E+04  +5.3992E-05  -5.5776E+01   
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE      
    Hz                     deg          
Chopper Off                             
+1.0000E+00  +1.8473E-01  +1.1449E+02   
+1.2589E+00  +1.9766E-01  +1.0398E+02   
+1.5849E+00  +2.0228E-01  +9.3092E+01   
+1.9953E+00  +2.0126E-01  +8.2265E+01   
+2.5119E+00  +1.9284E-01  +7.1368E+01   
+3.1623E+00  +1.7839E-01  +6.0994E+01   
+3.9811E+00  +1.5920E-01  +5.1273E+01   
+5.0119E+00  +1.3803E-01  +4.2498E+01   
+6.3095E+00  +1.1642E-01  +3.4627E+01   
+7.9430E+00  +9.6466E-02  +2.8158E+01   
+1.0000E+01  +7.8806E-02  +2.2582E+01   
+1.2589E+01  +6.3794E-02  +1.7970E+01   
+1.5849E+01  +5.1271E-02  +1.4409E+01   
+1.9952E+01  +4.0984E-02  +1.1440E+01   
+2.5119E+01  +3.2731E-02  +9.0215E+00   
+3.1623E+01  +2.6118E-02  +7.0859E+00   
+3.9810E+01  +2.0788E-02  +5.5219E+00   
+5.0118E+01  +1.6322E-02  +3.9199E+00   
+6.3095E+01  +1.3128E-02  +3.1214E+00   
+7.9430E+01  +1.0440E-02  +2.2262E+00   
+1.0000E+02  +8.2588E-03  +1.7372E+00   
+1.2589E+02  +6.5838E-03  +7.8733E-01   
+1.5849E+02  +5.2450E-03  +1.7960E-01   
+1.9952E+02  +4.1625E-03  -6.3115E-01   
+2.5119E+02  +3.3067E-03  -1.3747E+00   
+3.1622E+02  +2.6154E-03  -2.4082E+00   
+3.9810E+02  +2.0698E-03  -2.9374E+00   
+5.0118E+02  +1.6437E-03  -3.8069E+00   
+6.3095E+02  +1.3049E-03  -4.9495E+00   
+7.9430E+02  +1.0354E-03  -6.3514E+00   
+1.0000E+03  +8.2038E-04  -8.0796E+00   
+1.2589E+03  +6.4957E-04  -1.0201E+01   
+1.5849E+03  +5.1441E-04  -1.2772E+01   
+1.9952E+03  +4.1520E-04  -1.6114E+01   
+2.5118E+03  +3.1471E-04  -2.2584E+01   
+3.1622E+03  +2.4099E-04  -2.7793E+01   
+3.9810E+03  +1.7835E-04  -3.5169E+01   
+5.0118E+03  +1.1878E-04  -4.0260E+01   
+6.3094E+03  +9.1066E-05  -3.7608E+01   
+7.9430E+03  +7.3074E-05  -4.5330E+01   
+1.0000E+04  +5.4195E-05  -5.5657E+01   
   
