Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 173    Date: 10/02/05    Time: 11:54:20


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0015E-01  +8.8551E+01    
+1.2589E-01  +2.0045E-01  +8.8119E+01    
+1.5849E-01  +1.9993E-01  +8.7725E+01    
+1.9953E-01  +1.9988E-01  +8.7156E+01    
+2.5119E-01  +1.9989E-01  +8.6458E+01    
+3.1623E-01  +1.9963E-01  +8.5494E+01    
+3.9811E-01  +1.9933E-01  +8.4455E+01    
+5.0119E-01  +1.9916E-01  +8.2981E+01    
+6.3095E-01  +1.9789E-01  +8.1166E+01    
+7.9430E-01  +1.9652E-01  +7.8970E+01    
+1.0000E+00  +1.9450E-01  +7.6432E+01    
+1.2589E+00  +1.9128E-01  +7.2866E+01    
+1.5849E+00  +1.8708E-01  +6.8943E+01    
+1.9952E+00  +1.7991E-01  +6.4045E+01    
+2.5119E+00  +1.7048E-01  +5.8502E+01    
+3.1623E+00  +1.5836E-01  +5.2372E+01    
+3.9810E+00  +1.4355E-01  +4.5849E+01    
+5.0118E+00  +1.2685E-01  +3.9331E+01    
+6.3095E+00  +1.0923E-01  +3.3044E+01    
+7.9430E+00  +9.1933E-02  +2.7337E+01    
+1.0000E+01  +7.6027E-02  +2.2309E+01    
+1.2589E+01  +6.2008E-02  +1.8096E+01    
+1.5849E+01  +5.0212E-02  +1.4448E+01    
+1.9952E+01  +4.0327E-02  +1.1593E+01    
+2.5119E+01  +3.2297E-02  +9.0976E+00    
+3.1622E+01  +2.5756E-02  +7.1668E+00    
+3.9810E+01  +2.0588E-02  +5.5109E+00    
+5.0118E+01  +1.5899E-02  +3.5765E+00    
+6.3095E+01  +1.3000E-02  +3.2221E+00    
+7.9430E+01  +1.0340E-02  +2.2975E+00    
+1.0000E+02  +8.1895E-03  +1.4054E+00    
+1.2589E+02  +6.5256E-03  +8.2933E-01    
+1.5849E+02  +5.1991E-03  +2.0072E-01    
+1.9952E+02  +4.1215E-03  -5.2609E-01    
+2.5118E+02  +3.2841E-03  -1.2386E+00    
+3.1622E+02  +2.5931E-03  -2.3066E+00    
+3.9810E+02  +2.0513E-03  -2.8280E+00    
+5.0118E+02  +1.6298E-03  -3.6446E+00    
+6.3094E+02  +1.2944E-03  -4.7459E+00    
+7.9430E+02  +1.0267E-03  -6.1376E+00    
+1.0000E+03  +8.1413E-04  -7.8199E+00    
+1.2589E+03  +6.4546E-04  -9.9427E+00    
+1.5849E+03  +5.1141E-04  -1.2659E+01    
+1.9952E+03  +4.0375E-04  -1.7345E+01    
+2.5118E+03  +3.1024E-04  -2.0892E+01    
+3.1622E+03  +2.3847E-04  -2.6756E+01    
+3.9810E+03  +1.7038E-04  -3.4047E+01    
+5.0117E+03  +1.1844E-04  -3.1607E+01    
+6.3094E+03  +9.9494E-05  -3.5019E+01    
+7.9430E+03  +7.7519E-05  -4.4092E+01    
+9.9995E+03  +5.7559E-05  -5.4359E+01    
+1.0000E+04  +5.7556E-05  -5.4360E+01    
                                         
                                 
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8407E-01  +1.1524E+02    
+1.2589E+00  +1.9658E-01  +1.0471E+02    
+1.5849E+00  +2.0406E-01  +9.3703E+01    
+1.9953E+00  +2.0265E-01  +8.2457E+01    
+2.5119E+00  +1.9363E-01  +7.1361E+01    
+3.1623E+00  +1.7847E-01  +6.0891E+01    
+3.9811E+00  +1.5927E-01  +5.1145E+01    
+5.0119E+00  +1.3729E-01  +4.2146E+01    
+6.3095E+00  +1.1577E-01  +3.4360E+01    
+7.9430E+00  +9.5971E-02  +2.7953E+01    
+1.0000E+01  +7.8357E-02  +2.2425E+01    
+1.2589E+01  +6.3357E-02  +1.7983E+01    
+1.5849E+01  +5.0850E-02  +1.4356E+01    
+1.9952E+01  +4.0734E-02  +1.1327E+01    
+2.5119E+01  +3.2490E-02  +8.9373E+00    
+3.1623E+01  +2.5899E-02  +7.0379E+00    
+3.9810E+01  +2.0628E-02  +5.4310E+00    
+5.0118E+01  +1.6038E-02  +3.1385E+00    
+6.3095E+01  +1.3021E-02  +3.1163E+00    
+7.9430E+01  +1.0350E-02  +2.2049E+00    
+1.0000E+02  +8.2447E-03  +1.3096E+00    
+1.2589E+02  +6.5353E-03  +8.0917E-01    
+1.5849E+02  +5.2060E-03  +1.1559E-01    
+1.9952E+02  +4.1270E-03  -4.9265E-01    
+2.5119E+02  +3.2809E-03  -1.1668E+00    
+3.1622E+02  +2.5965E-03  -2.3016E+00    
+3.9810E+02  +2.0539E-03  -2.7842E+00    
+5.0118E+02  +1.6321E-03  -3.6257E+00    
+6.3095E+02  +1.2960E-03  -4.7209E+00    
+7.9430E+02  +1.0279E-03  -6.0748E+00    
+1.0000E+03  +8.1539E-04  -7.7869E+00    
+1.2589E+03  +6.4627E-04  -9.9044E+00    
+1.5849E+03  +5.1238E-04  -1.2618E+01    
+1.9952E+03  +4.0438E-04  -1.7320E+01    
+2.5118E+03  +3.1076E-04  -2.0830E+01    
+3.1622E+03  +2.3911E-04  -2.6671E+01    
+3.9810E+03  +1.7105E-04  -3.3997E+01    
+5.0118E+03  +1.1882E-04  -3.1707E+01    
+6.3094E+03  +9.9674E-05  -3.5068E+01    
+7.9430E+03  +7.7644E-05  -4.4091E+01    
+1.0000E+04  +5.7657E-05  -5.4349E+01    
 
