Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 323    Date: 24/04/08    Time: 11:58:08



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9995E-01  +8.8560E+01    
+1.2589E-01  +2.0003E-01  +8.8192E+01    
+1.5849E-01  +2.0000E-01  +8.7736E+01    
+1.9953E-01  +2.0001E-01  +8.7177E+01    
+2.5119E-01  +1.9989E-01  +8.6460E+01    
+3.1623E-01  +1.9966E-01  +8.5586E+01    
+3.9811E-01  +1.9903E-01  +8.4370E+01    
+5.0119E-01  +1.9842E-01  +8.3091E+01    
+6.3095E-01  +1.9757E-01  +8.1210E+01    
+7.9430E-01  +1.9644E-01  +7.8975E+01    
+1.0000E+00  +1.9414E-01  +7.6245E+01    
+1.2589E+00  +1.9129E-01  +7.2948E+01    
+1.5849E+00  +1.8661E-01  +6.8951E+01    
+1.9952E+00  +1.7981E-01  +6.4084E+01    
+2.5119E+00  +1.7049E-01  +5.8574E+01    
+3.1623E+00  +1.5831E-01  +5.2429E+01    
+3.9810E+00  +1.4336E-01  +4.5877E+01    
+5.0118E+00  +1.2671E-01  +3.9349E+01    
+6.3095E+00  +1.0916E-01  +3.3080E+01    
+7.9430E+00  +9.1925E-02  +2.7410E+01    
+1.0000E+01  +7.6063E-02  +2.2360E+01    
+1.2589E+01  +6.2055E-02  +1.8136E+01    
+1.5849E+01  +5.0195E-02  +1.4418E+01    
+1.9952E+01  +4.0472E-02  +1.1553E+01    
+2.5119E+01  +3.2323E-02  +9.1597E+00    
+3.1622E+01  +2.5819E-02  +7.1774E+00    
+3.9810E+01  +2.0548E-02  +5.6484E+00    
+5.0118E+01  +1.6503E-02  +4.3456E+00    
+6.3095E+01  +1.3046E-02  +3.2028E+00    
+7.9430E+01  +1.0348E-02  +2.3467E+00    
+1.0000E+02  +8.2233E-03  +1.5803E+00    
+1.2589E+02  +6.5291E-03  +9.2233E-01    
+1.5849E+02  +5.1843E-03  +1.7984E-01    
+1.9952E+02  +4.1219E-03  -4.0319E-01    
+2.5118E+02  +3.2748E-03  -9.6441E-01    
+3.1622E+02  +2.5992E-03  -1.7153E+00    
+3.9810E+02  +2.0632E-03  -2.4846E+00    
+5.0118E+02  +1.6405E-03  -3.3252E+00    
+6.3094E+02  +1.3016E-03  -4.4543E+00    
+7.9430E+02  +1.0350E-03  -5.7878E+00    
+1.0000E+03  +8.1921E-04  -7.4516E+00    
+1.2589E+03  +6.4900E-04  -9.5566E+00    
+1.5849E+03  +5.1317E-04  -1.2120E+01    
+1.9952E+03  +4.0388E-04  -1.5498E+01    
+2.5118E+03  +3.1589E-04  -1.9584E+01    
+3.1622E+03  +2.4493E-04  -2.4788E+01    
+3.9810E+03  +1.8490E-04  -3.1157E+01    
+5.0117E+03  +1.3373E-04  -3.7135E+01    
+6.3094E+03  +9.7863E-05  -4.0732E+01    
+7.9430E+03  +7.4397E-05  -4.6464E+01    
+9.9995E+03  +5.5493E-05  -5.4957E+01    
+1.0000E+04  +5.5497E-05  -5.4952E+01    
                                         
                                         
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off                              
+1.0000E+00  +1.8547E-01  +1.1403E+02    
+1.2589E+00  +1.9782E-01  +1.0355E+02    
+1.5849E+00  +2.0283E-01  +9.2812E+01    
+1.9953E+00  +2.0123E-01  +8.1741E+01    
+2.5119E+00  +1.9252E-01  +7.1051E+01    
+3.1623E+00  +1.7800E-01  +6.0716E+01    
+3.9811E+00  +1.5855E-01  +5.1035E+01    
+5.0119E+00  +1.3707E-01  +4.2306E+01    
+6.3095E+00  +1.1559E-01  +3.4604E+01    
+7.9430E+00  +9.5853E-02  +2.7969E+01    
+1.0000E+01  +7.8268E-02  +2.2495E+01    
+1.2589E+01  +6.3315E-02  +1.7871E+01    
+1.5849E+01  +5.0937E-02  +1.4276E+01    
+1.9952E+01  +4.0813E-02  +1.1403E+01    
+2.5119E+01  +3.2507E-02  +8.9756E+00    
+3.1623E+01  +2.5917E-02  +7.0268E+00    
+3.9810E+01  +2.0635E-02  +5.4522E+00    
+5.0118E+01  +1.6204E-02  +4.4166E+00    
+6.3095E+01  +1.3035E-02  +3.2049E+00    
+7.9430E+01  +1.0354E-02  +2.2884E+00    
+1.0000E+02  +8.2272E-03  +1.4919E+00    
+1.2589E+02  +6.5327E-03  +8.7316E-01    
+1.5849E+02  +5.1958E-03  +1.5343E-01    
+1.9952E+02  +4.1240E-03  -3.6330E-01    
+2.5119E+02  +3.2769E-03  -1.0912E+00    
+3.1622E+02  +2.6016E-03  -1.7189E+00    
+3.9810E+02  +2.0662E-03  -2.5052E+00    
+5.0118E+02  +1.6424E-03  -3.3820E+00    
+6.3095E+02  +1.3024E-03  -4.4637E+00    
+7.9430E+02  +1.0353E-03  -5.7867E+00    
+1.0000E+03  +8.2032E-04  -7.5021E+00    
+1.2589E+03  +6.4964E-04  -9.5713E+00    
+1.5849E+03  +5.1373E-04  -1.2151E+01    
+1.9952E+03  +4.0424E-04  -1.5509E+01    
+2.5118E+03  +3.1615E-04  -1.9533E+01    
+3.1622E+03  +2.4513E-04  -2.4805E+01    
+3.9810E+03  +1.8509E-04  -3.1199E+01    
+5.0118E+03  +1.3383E-04  -3.7210E+01    
+6.3094E+03  +9.7843E-05  -4.0761E+01    
+7.9430E+03  +7.4368E-05  -4.6489E+01    
+1.0000E+04  +5.5453E-05  -5.4974E+01    
                                         
