Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 095    Date: 01/02/11    Time: 09:58:02


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9980E-01  +8.8561E+01   
+1.2328E-01  +1.9982E-01  +8.8240E+01    
+1.5199E-01  +1.9970E-01  +8.7848E+01    
+1.8738E-01  +1.9969E-01  +8.7346E+01    
+2.3101E-01  +1.9966E-01  +8.6749E+01    
+2.8480E-01  +1.9945E-01  +8.5998E+01    
+3.5112E-01  +1.9929E-01  +8.5065E+01    
+4.3288E-01  +1.9881E-01  +8.3926E+01    
+5.3367E-01  +1.9817E-01  +8.2577E+01    
+6.5790E-01  +1.9740E-01  +8.0911E+01    
+8.1110E-01  +1.9596E-01  +7.8862E+01    
+1.0000E+00  +1.9380E-01  +7.6386E+01    
+1.2329E+00  +1.9136E-01  +7.3487E+01    
+1.5199E+00  +1.8760E-01  +6.9799E+01    
+1.8738E+00  +1.8183E-01  +6.5673E+01    
+2.3101E+00  +1.7456E-01  +6.0881E+01    
+2.8481E+00  +1.6505E-01  +5.5621E+01    
+3.5112E+00  +1.5230E-01  +4.9723E+01    
+4.3288E+00  +1.3812E-01  +4.3826E+01    
+5.3368E+00  +1.2261E-01  +3.7960E+01    
+6.5790E+00  +1.0645E-01  +3.2274E+01    
+8.1110E+00  +9.0945E-02  +2.7036E+01    
+1.0000E+01  +7.6530E-02  +2.2502E+01    
+1.2329E+01  +6.3663E-02  +1.8444E+01    
+1.5199E+01  +5.2567E-02  +1.5111E+01    
+1.8738E+01  +4.3101E-02  +1.2519E+01    
+2.3102E+01  +3.5331E-02  +1.0067E+01    
+2.8481E+01  +2.8804E-02  +8.1229E+00    
+3.5112E+01  +2.3430E-02  +6.3327E+00    
+4.3288E+01  +1.9246E-02  +5.2396E+00    
+5.3368E+01  +1.5470E-02  +4.0291E+00    
+6.5790E+01  +1.2545E-02  +2.9891E+00    
+8.1110E+01  +1.0195E-02  +2.3645E+00    
+1.0000E+02  +8.2633E-03  +1.6464E+00    
+1.2329E+02  +6.7152E-03  +1.0044E+00    
+1.5199E+02  +5.4694E-03  +5.5529E-01    
+1.8739E+02  +4.4179E-03  -1.5835E-01    
+2.3102E+02  +3.5799E-03  -7.1859E-01    
+2.8481E+02  +2.9069E-03  -1.4490E+00    
+3.5113E+02  +2.3486E-03  -2.1272E+00    
+4.3289E+02  +1.9134E-03  -2.6636E+00    
+5.3368E+02  +1.5509E-03  -3.5311E+00    
+6.5790E+02  +1.2576E-03  -4.5616E+00    
+8.1120E+02  +1.0202E-03  -5.7951E+00    
+1.0000E+03  +8.2769E-04  -7.2794E+00    
+1.2329E+03  +6.7039E-04  -9.1773E+00    
+1.5200E+03  +5.4329E-04  -1.1526E+01    
+1.8739E+03  +4.4021E-04  -1.4343E+01    
+2.3102E+03  +3.5654E-04  -1.8734E+01    
+2.8481E+03  +2.8248E-04  -2.3487E+01    
+3.5113E+03  +2.2122E-04  -2.9699E+01    
+4.3289E+03  +1.6485E-04  -3.7371E+01    
+5.3369E+03  +1.1259E-04  -4.0428E+01    
