Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 328    Date: 25/04/08    Time: 06:38:34


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9998E-01  +8.8326E+01       
+1.2589E-01  +2.0019E-01  +8.7906E+01       
+1.5849E-01  +2.0009E-01  +8.7358E+01       
+1.9953E-01  +2.0003E-01  +8.6702E+01       
+2.5119E-01  +1.9993E-01  +8.5869E+01       
+3.1623E-01  +1.9968E-01  +8.4827E+01       
+3.9811E-01  +1.9899E-01  +8.3537E+01       
+5.0119E-01  +1.9845E-01  +8.1874E+01       
+6.3095E-01  +1.9681E-01  +7.9905E+01       
+7.9430E-01  +1.9549E-01  +7.7297E+01       
+1.0000E+00  +1.9272E-01  +7.4220E+01       
+1.2589E+00  +1.8852E-01  +7.0471E+01       
+1.5849E+00  +1.8241E-01  +6.5898E+01       
+1.9952E+00  +1.7402E-01  +6.0665E+01       
+2.5119E+00  +1.6281E-01  +5.4758E+01       
+3.1623E+00  +1.4874E-01  +4.8374E+01       
+3.9810E+00  +1.3246E-01  +4.1859E+01       
+5.0118E+00  +1.1489E-01  +3.5513E+01       
+6.3095E+00  +9.7405E-02  +2.9613E+01       
+7.9430E+00  +8.1067E-02  +2.4478E+01       
+1.0000E+01  +6.6458E-02  +2.0035E+01       
+1.2589E+01  +5.3921E-02  +1.6456E+01       
+1.5849E+01  +4.3413E-02  +1.3336E+01       
+1.9952E+01  +3.4912E-02  +1.1016E+01       
+2.5119E+01  +2.7893E-02  +9.1516E+00       
+3.1622E+01  +2.2302E-02  +7.7051E+00       
+3.9810E+01  +1.7782E-02  +6.6624E+00       
+5.0118E+01  +1.4081E-02  +6.1005E+00       
+6.3095E+01  +1.1365E-02  +5.3975E+00       
+7.9430E+01  +9.1239E-03  +5.0109E+00       
+1.0000E+02  +7.3387E-03  +4.7092E+00       
+1.2589E+02  +5.9256E-03  +4.3498E+00       
+1.5849E+02  +4.7916E-03  +3.8292E+00       
+1.9952E+02  +3.8722E-03  +3.6378E+00       
+2.5118E+02  +3.1056E-03  +4.5606E+00       
+3.9810E+02  +2.0727E-03  -3.4655E+00       
+5.0118E+02  +1.6618E-03  -6.4967E+00       
+6.3094E+02  +1.3253E-03  -1.0110E+01       
+7.9430E+02  +1.0483E-03  -1.4467E+01       
+1.0000E+03  +8.2266E-04  -1.9394E+01       
+1.2589E+03  +6.3788E-04  -2.5393E+01       
+1.5849E+03  +4.8641E-04  -3.2585E+01       
+1.9952E+03  +3.5950E-04  -4.1150E+01       
+2.5118E+03  +2.5911E-04  -4.9887E+01       
+3.1622E+03  +1.7614E-04  -6.0843E+01       
+3.9810E+03  +1.0916E-04  -7.0725E+01       
+5.0117E+03  +6.1098E-05  -7.4192E+01       
+6.3094E+03  +3.7755E-05  -6.3237E+01       
+7.9430E+03  +3.3222E-05  -5.9085E+01       
+9.9995E+03  +2.7395E-05  -7.3490E+01       
+1.0000E+04  +2.7396E-05  -7.3483E+01       
                                            
                                            
 FREQUENCY    MAGNITUDE      PHASE          
    Hz                     deg              
Chopper Off                                 
+1.0000E+00  +1.8598E-01  +1.1143E+02       
+1.2589E+00  +1.9670E-01  +1.0031E+02       
+1.5849E+00  +1.9972E-01  +8.8958E+01       
+1.9953E+00  +1.9522E-01  +7.7524E+01       
+2.5119E+00  +1.8311E-01  +6.6466E+01       
+3.1623E+00  +1.6550E-01  +5.6074E+01       
+3.9811E+00  +1.4460E-01  +4.6581E+01       
+5.0119E+00  +1.2307E-01  +3.8321E+01       
+6.3095E+00  +1.0254E-01  +3.1246E+01       
+7.9430E+00  +8.4199E-02  +2.5351E+01       
+1.0000E+01  +6.8300E-02  +2.0525E+01       
+1.2589E+01  +5.5039E-02  +1.6595E+01       
+1.5849E+01  +4.4227E-02  +1.3580E+01       
+1.9952E+01  +3.5297E-02  +1.1079E+01       
+2.5119E+01  +2.8164E-02  +9.1553E+00       
+3.1623E+01  +2.2468E-02  +7.6987E+00       
+3.9810E+01  +1.7940E-02  +6.6584E+00       
+5.0118E+01  +1.4371E-02  +6.5412E+00       
+6.3095E+01  +1.1485E-02  +5.4169E+00       
+7.9430E+01  +9.1887E-03  +4.9302E+00       
+1.0000E+02  +7.3975E-03  +4.6136E+00       
+1.2589E+02  +5.9689E-03  +4.2005E+00       
+1.5849E+02  +4.8366E-03  +3.5023E+00       
+1.9952E+02  +3.9248E-03  +2.7799E+00       
+2.5119E+02  +3.1699E-03  +2.4365E+00       
+3.1622E+02  +2.5742E-03  +1.1495E+00       
+5.0118E+02  +1.6801E-03  -6.3110E+00       
+6.3095E+02  +1.3401E-03  -9.9415E+00       
+7.9430E+02  +1.0628E-03  -1.4264E+01       
+1.0000E+03  +8.3311E-04  -1.9369E+01       
+1.2589E+03  +6.4655E-04  -2.5464E+01       
+1.5849E+03  +4.9304E-04  -3.2757E+01       
+1.9952E+03  +3.6490E-04  -4.1249E+01       
+2.5118E+03  +2.6225E-04  -5.0598E+01       
+3.1622E+03  +1.7731E-04  -6.1409E+01       
+3.9810E+03  +1.0954E-04  -7.1256E+01       
+5.0118E+03  +6.1124E-05  -7.4652E+01       
+6.3094E+03  +3.7700E-05  -6.3504E+01       
+7.9430E+03  +3.3222E-05  -5.9256E+01       
+1.0000E+04  +2.7415E-05  -7.3638E+01       
                                            
