Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 329    Date: 25/04/08    Time: 07:19:41



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9973E-01  +8.8575E+01    
+1.2589E-01  +1.9987E-01  +8.8216E+01    
+1.5849E-01  +1.9980E-01  +8.7747E+01    
+1.9953E-01  +1.9984E-01  +8.7186E+01    
+2.5119E-01  +1.9973E-01  +8.6455E+01    
+3.1623E-01  +1.9957E-01  +8.5561E+01    
+3.9811E-01  +1.9900E-01  +8.4505E+01    
+5.0119E-01  +1.9875E-01  +8.2982E+01    
+6.3095E-01  +1.9759E-01  +8.1218E+01    
+7.9430E-01  +1.9634E-01  +7.9071E+01    
+1.0000E+00  +1.9418E-01  +7.6292E+01    
+1.2589E+00  +1.9112E-01  +7.2984E+01    
+1.5849E+00  +1.8638E-01  +6.9047E+01    
+1.9952E+00  +1.7992E-01  +6.4249E+01    
+2.5119E+00  +1.7074E-01  +5.8759E+01    
+3.1623E+00  +1.5859E-01  +5.2649E+01    
+3.9810E+00  +1.4369E-01  +4.6088E+01    
+5.0118E+00  +1.2697E-01  +3.9561E+01    
+6.3095E+00  +1.0939E-01  +3.3292E+01    
+7.9430E+00  +9.2298E-02  +2.7553E+01    
+1.0000E+01  +7.6387E-02  +2.2495E+01    
+1.2589E+01  +6.2442E-02  +1.8200E+01    
+1.5849E+01  +5.0525E-02  +1.4654E+01    
+1.9952E+01  +4.0566E-02  +1.1672E+01    
+2.5119E+01  +3.2508E-02  +9.2195E+00    
+3.1622E+01  +2.5968E-02  +7.2593E+00    
+3.9810E+01  +2.0655E-02  +5.6635E+00    
+5.0118E+01  +1.6457E-02  +4.3786E+00    
+6.3095E+01  +1.3120E-02  +3.2149E+00    
+7.9430E+01  +1.0405E-02  +2.3643E+00    
+1.0000E+02  +8.2672E-03  +1.5894E+00    
+1.2589E+02  +6.5693E-03  +9.0546E-01    
+1.5849E+02  +5.2306E-03  +1.7931E-01    
+1.9952E+02  +4.1447E-03  -4.4420E-01    
+2.5118E+02  +3.2902E-03  -1.0078E+00    
+3.1622E+02  +2.6127E-03  -1.7767E+00    
+3.9810E+02  +2.0746E-03  -2.5680E+00    
+5.0118E+02  +1.6477E-03  -3.5002E+00    
+6.3094E+02  +1.3084E-03  -4.5543E+00    
+7.9430E+02  +1.0372E-03  -5.8894E+00    
+1.0000E+03  +8.2321E-04  -7.6726E+00    
+1.2589E+03  +6.5186E-04  -9.7625E+00    
+1.5849E+03  +5.1554E-04  -1.2466E+01    
+1.9952E+03  +4.0590E-04  -1.5749E+01    
+2.5118E+03  +3.1781E-04  -1.9872E+01    
+3.1622E+03  +2.4706E-04  -2.5050E+01    
+3.9810E+03  +1.8813E-04  -3.1553E+01    
+5.0117E+03  +1.3784E-04  -3.8775E+01    
+6.3094E+03  +9.7966E-05  -4.4078E+01    
+7.9430E+03  +7.2502E-05  -4.8785E+01    
+9.9995E+03  +5.4221E-05  -5.6440E+01    
+1.0000E+04  +5.4226E-05  -5.6445E+01    
                                         
                                
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8822E-01  +1.1321E+02    
+1.2589E+00  +2.0008E-01  +1.0274E+02    
+1.5849E+00  +2.0501E-01  +9.2018E+01    
+1.9953E+00  +2.0304E-01  +8.1244E+01    
+2.5119E+00  +1.9383E-01  +7.0597E+01    
+3.1623E+00  +1.7861E-01  +6.0324E+01    
+3.9811E+00  +1.5926E-01  +5.0721E+01    
+5.0119E+00  +1.3778E-01  +4.2031E+01    
+6.3095E+00  +1.1628E-01  +3.4376E+01    
+7.9430E+00  +9.6360E-02  +2.7875E+01    
+1.0000E+01  +7.8696E-02  +2.2400E+01    
+1.2589E+01  +6.3685E-02  +1.7925E+01    
+1.5849E+01  +5.1174E-02  +1.4263E+01    
+1.9952E+01  +4.0973E-02  +1.1321E+01    
+2.5119E+01  +3.2697E-02  +8.9452E+00    
+3.1623E+01  +2.6046E-02  +7.0268E+00    
+3.9810E+01  +2.0732E-02  +5.4622E+00    
+5.0118E+01  +1.6461E-02  +4.2988E+00    
+6.3095E+01  +1.3101E-02  +3.1586E+00    
+7.9430E+01  +1.0420E-02  +2.2523E+00    
+1.0000E+02  +8.2815E-03  +1.4687E+00    
+1.2589E+02  +6.5736E-03  +8.2896E-01    
+1.5849E+02  +5.2318E-03  +2.8663E-01    
+1.9952E+02  +4.1476E-03  -4.5323E-01    
+2.5119E+02  +3.2956E-03  -9.8929E-01    
+3.1622E+02  +2.6170E-03  -1.7802E+00    
+3.9810E+02  +2.0770E-03  -2.5795E+00    
+5.0118E+02  +1.6494E-03  -3.4963E+00    
+6.3095E+02  +1.3100E-03  -4.5438E+00    
+7.9430E+02  +1.0413E-03  -5.8690E+00    
+1.0000E+03  +8.2420E-04  -7.6025E+00    
+1.2589E+03  +6.5307E-04  -9.7194E+00    
+1.5849E+03  +5.1618E-04  -1.2414E+01    
+1.9952E+03  +4.0670E-04  -1.5659E+01    
+2.5118E+03  +3.1901E-04  -1.9825E+01    
+3.1622E+03  +2.4748E-04  -2.5001E+01    
+3.9810E+03  +1.8856E-04  -3.1479E+01    
+5.0118E+03  +1.3823E-04  -3.8701E+01    
+6.3094E+03  +9.8324E-05  -4.4064E+01    
+7.9430E+03  +7.2753E-05  -4.8768E+01    
+1.0000E+04  +5.4394E-05  -5.6417E+01    
   
