Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: MFS06#050    Date: 26/03/02    Time: 12:25:37


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9987E-01  +8.8532E+01   
+1.2589E-01  +2.0003E-01  +8.8161E+01   
+1.5849E-01  +1.9968E-01  +8.7713E+01   
+1.9953E-01  +1.9964E-01  +8.7148E+01   
+2.5119E-01  +1.9960E-01  +8.6432E+01   
+3.1623E-01  +1.9942E-01  +8.5523E+01   
+3.9811E-01  +1.9889E-01  +8.4397E+01   
+5.0119E-01  +1.9857E-01  +8.2979E+01   
+6.3095E-01  +1.9759E-01  +8.1235E+01   
+7.9430E-01  +1.9613E-01  +7.9039E+01   
+1.0000E+00  +1.9389E-01  +7.6355E+01   
+1.2589E+00  +1.9123E-01  +7.3007E+01   
+1.5849E+00  +1.8656E-01  +6.8986E+01   
+1.9952E+00  +1.7995E-01  +6.4240E+01   
+2.5119E+00  +1.7076E-01  +5.8729E+01   
+3.1623E+00  +1.5874E-01  +5.2641E+01   
+3.9810E+00  +1.4402E-01  +4.6163E+01   
+5.0118E+00  +1.2731E-01  +3.9617E+01   
+6.3095E+00  +1.0978E-01  +3.3358E+01   
+7.9430E+00  +9.2515E-02  +2.7529E+01   
+1.0000E+01  +7.6554E-02  +2.2486E+01   
+1.2589E+01  +6.2541E-02  +1.8161E+01   
+1.5849E+01  +5.0712E-02  +1.4516E+01   
+1.9952E+01  +4.0700E-02  +1.1579E+01   
+2.5119E+01  +3.2582E-02  +9.1345E+00   
+3.1622E+01  +2.5993E-02  +7.1992E+00   
+3.9810E+01  +2.0703E-02  +5.6049E+00   
+5.0118E+01  +1.6246E-02  +4.8342E+00   
+6.3095E+01  +1.3116E-02  +3.2038E+00   
+7.9430E+01  +1.0423E-02  +2.2927E+00   
+1.0000E+02  +8.2676E-03  +1.8192E+00   
+1.2589E+02  +6.5828E-03  +7.8135E-01   
+1.5849E+02  +5.2192E-03  +1.2892E-01   
+1.9952E+02  +4.1591E-03  -6.4495E-01   
+2.5118E+02  +3.3074E-03  -1.4268E+00   
+3.1622E+02  +2.6155E-03  -2.4327E+00   
+3.9810E+02  +2.0689E-03  -2.9773E+00   
+5.0118E+02  +1.6438E-03  -3.8957E+00   
+6.3094E+02  +1.3049E-03  -5.0528E+00   
+7.9430E+02  +1.0349E-03  -6.4787E+00   
+1.0000E+03  +8.2033E-04  -8.2690E+00   
+1.2589E+03  +6.4960E-04  -1.0467E+01   
+1.5849E+03  +5.1414E-04  -1.3193E+01   
+1.9952E+03  +4.1164E-04  -1.7267E+01   
+2.5118E+03  +3.1380E-04  -2.2297E+01   
+3.1622E+03  +2.4111E-04  -2.8137E+01   
+3.9810E+03  +1.7642E-04  -3.6199E+01   
+5.0117E+03  +1.1482E-04  -3.8888E+01   
+6.3094E+03  +9.2921E-05  -3.7468E+01   
+7.9430E+03  +7.3290E-05  -4.6028E+01   
+9.9995E+03  +5.4106E-05  -5.6262E+01   
+1.0000E+04  +5.4108E-05  -5.6257E+01   
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE      
    Hz                     deg          
Chopper Off                             
+1.0000E+00  +1.8154E-01  +1.1622E+02   
+1.2589E+00  +1.9654E-01  +1.0549E+02   
+1.5849E+00  +2.0357E-01  +9.4342E+01   
+1.9953E+00  +2.0298E-01  +8.3159E+01   
+2.5119E+00  +1.9454E-01  +7.2065E+01   
+3.1623E+00  +1.7981E-01  +6.1399E+01   
+3.9811E+00  +1.6044E-01  +5.1529E+01   
+5.0119E+00  +1.3855E-01  +4.2539E+01   
+6.3095E+00  +1.1681E-01  +3.4719E+01   
+7.9430E+00  +9.6760E-02  +2.8100E+01   
+1.0000E+01  +7.8990E-02  +2.2591E+01   
+1.2589E+01  +6.3881E-02  +1.8076E+01   
+1.5849E+01  +5.1218E-02  +1.4328E+01   
+1.9952E+01  +4.1069E-02  +1.1415E+01   
+2.5119E+01  +3.2775E-02  +8.9776E+00   
+3.1623E+01  +2.6102E-02  +7.0487E+00   
+3.9810E+01  +2.0788E-02  +5.4532E+00   
+5.0118E+01  +1.6375E-02  +3.2609E+00   
+6.3095E+01  +1.3138E-02  +3.1254E+00   
+7.9430E+01  +1.0440E-02  +2.2209E+00   
+1.0000E+02  +8.2977E-03  +1.7728E+00   
+1.2589E+02  +6.5880E-03  +7.4917E-01   
+1.5849E+02  +5.2258E-03  +9.8029E-02   
+1.9952E+02  +4.1687E-03  -6.2714E-01   
+2.5119E+02  +3.3079E-03  -1.2790E+00   
+3.1622E+02  +2.6185E-03  -2.4416E+00   
+3.9810E+02  +2.0718E-03  -3.0091E+00   
+5.0118E+02  +1.6458E-03  -3.8887E+00   
+6.3095E+02  +1.3066E-03  -5.0398E+00   
+7.9430E+02  +1.0366E-03  -6.4680E+00   
+1.0000E+03  +8.2145E-04  -8.2715E+00   
+1.2589E+03  +6.5052E-04  -1.0488E+01   
+1.5849E+03  +5.1482E-04  -1.3229E+01   
+1.9952E+03  +4.1157E-04  -1.7203E+01   
+2.5118E+03  +3.1448E-04  -2.2292E+01   
+3.1622E+03  +2.4170E-04  -2.8202E+01   
+3.9810E+03  +1.7677E-04  -3.6345E+01   
+5.0118E+03  +1.1469E-04  -3.9035E+01   
+6.3094E+03  +9.2769E-05  -3.7509E+01   
+7.9430E+03  +7.3203E-05  -4.6101E+01   
+1.0000E+04  +5.4020E-05  -5.6368E+01   
  
