Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 324    Date: 08/04/13    Time: 08:07:47


 FREQUENCY    MAGNITUDE      PHASE        
    Hz                     deg            
Chopper On                                
+1.0000E-01  +1.9988E-01  +8.8582E+01     
+1.2328E-01  +1.9988E-01  +8.8260E+01     
+1.5199E-01  +1.9982E-01  +8.7838E+01     
+1.8738E-01  +1.9977E-01  +8.7351E+01     
+2.3101E-01  +1.9965E-01  +8.6753E+01     
+2.8480E-01  +1.9944E-01  +8.5989E+01     
+3.5112E-01  +1.9935E-01  +8.5064E+01     
+4.3288E-01  +1.9903E-01  +8.3963E+01     
+5.3367E-01  +1.9833E-01  +8.2531E+01     
+6.5790E-01  +1.9740E-01  +8.0872E+01     
+8.1110E-01  +1.9589E-01  +7.8800E+01     
+1.0000E+00  +1.9414E-01  +7.6271E+01     
+1.2329E+00  +1.9106E-01  +7.3297E+01     
+1.5199E+00  +1.8742E-01  +6.9672E+01     
+1.8738E+00  +1.8151E-01  +6.5533E+01     
+2.3101E+00  +1.7412E-01  +6.0697E+01     
+2.8481E+00  +1.6467E-01  +5.5422E+01     
+3.5112E+00  +1.5214E-01  +4.9616E+01     
+4.3288E+00  +1.3773E-01  +4.3627E+01     
+5.3368E+00  +1.2194E-01  +3.7603E+01     
+6.5790E+00  +1.0613E-01  +3.2070E+01     
+8.1110E+00  +9.0521E-02  +2.6882E+01     
+1.0000E+01  +7.6191E-02  +2.2378E+01     
+1.2329E+01  +6.3378E-02  +1.8440E+01     
+1.5199E+01  +5.2324E-02  +1.5022E+01     
+1.8738E+01  +4.2940E-02  +1.2351E+01     
+2.3102E+01  +3.5173E-02  +9.9337E+00     
+2.8481E+01  +2.8636E-02  +8.0437E+00     
+3.5112E+01  +2.3312E-02  +6.6774E+00     
+4.3288E+01  +1.9207E-02  +5.1538E+00     
+5.3368E+01  +1.5402E-02  +3.9992E+00     
+6.5790E+01  +1.2517E-02  +3.2368E+00     
+8.1110E+01  +1.0142E-02  +2.2943E+00     
+1.0000E+02  +8.2434E-03  +1.5625E+00     
+1.2329E+02  +6.6805E-03  +9.5373E-01     
+1.5199E+02  +5.3973E-03  +3.0099E-01     
+1.8739E+02  +4.3918E-03  -2.0687E-01     
+2.3102E+02  +3.5605E-03  -7.8666E-01     
+2.8481E+02  +2.8908E-03  -1.3845E+00     
+3.5113E+02  +2.3429E-03  -2.0003E+00     
+4.3289E+02  +1.8987E-03  -2.7982E+00     
+5.3368E+02  +1.5392E-03  -3.6644E+00     
+6.5790E+02  +1.2472E-03  -4.6921E+00     
+8.1120E+02  +1.0103E-03  -5.9129E+00     
+1.0000E+03  +8.1801E-04  -7.3865E+00     
+1.2329E+03  +6.6153E-04  -9.1653E+00     
+1.5200E+03  +5.3435E-04  -1.1332E+01     
+1.8739E+03  +4.3111E-04  -1.3949E+01     
+2.3102E+03  +3.4840E-04  -1.7140E+01     
+2.8481E+03  +2.7854E-04  -2.1738E+01     
+3.5113E+03  +2.1988E-04  -2.6744E+01     
+4.3289E+03  +1.7133E-04  -3.2756E+01     
+5.3369E+03  +1.2991E-04  -3.9546E+01     
