Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 037    Date: 19/12/06    Time: 09:30:26



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+5.0000E-01  +2.0011E-02  +8.9057E+01    
+6.2946E-01  +2.0019E-02  +8.8845E+01    
+7.9240E-01  +1.9991E-02  +8.8562E+01    
+9.9759E-01  +1.9934E-02  +8.8226E+01    
+1.2559E+00  +1.9928E-02  +8.7774E+01    
+1.5811E+00  +1.9895E-02  +8.7199E+01    
+1.9905E+00  +1.9903E-02  +8.6555E+01    
+2.5059E+00  +1.9832E-02  +8.5671E+01    
+3.1548E+00  +1.9714E-02  +8.4594E+01    
+3.9716E+00  +1.9766E-02  +8.3203E+01    
+5.0000E+00  +1.9639E-02  +8.1504E+01    
+6.2946E+00  +1.9373E-02  +7.9441E+01    
+7.9240E+00  +1.9092E-02  +7.6845E+01    
+9.9760E+00  +1.9104E-02  +7.3310E+01    
+1.2559E+01  +1.8600E-02  +6.9393E+01    
+1.5811E+01  +1.7950E-02  +6.4675E+01    
+1.9905E+01  +1.7036E-02  +5.9423E+01    
+2.5059E+01  +1.5842E-02  +5.3463E+01    
+3.1548E+01  +1.4393E-02  +4.7088E+01    
+3.9716E+01  +1.2761E-02  +4.0622E+01    
+4.9999E+01  +1.1487E-02  +3.3805E+01    
+6.2946E+01  +9.3539E-03  +2.7937E+01    
+7.9240E+01  +7.7527E-03  +2.2684E+01    
+9.9760E+01  +6.3983E-03  +1.8427E+01    
+1.2559E+02  +5.1278E-03  +1.4529E+01    
+1.5811E+02  +4.1191E-03  +1.1601E+01    
+1.9905E+02  +3.3059E-03  +8.9183E+00    
+2.5059E+02  +2.6354E-03  +6.7467E+00    
+3.1547E+02  +2.1008E-03  +5.0218E+00    
+3.9716E+02  +1.6708E-03  +3.5346E+00    
+4.9999E+02  +1.3281E-03  +2.2150E+00    
+6.2945E+02  +1.0563E-03  +9.7442E-01    
+7.9240E+02  +8.3820E-04  +3.8569E-02    
+9.9760E+02  +6.6575E-04  -1.1893E+00    
+1.2559E+03  +5.2730E-04  -2.5644E+00    
+1.5811E+03  +4.1919E-04  -3.6533E+00    
+1.9905E+03  +3.3257E-04  -5.1375E+00    
+2.5059E+03  +2.6356E-04  -6.8484E+00    
+3.1547E+03  +2.0870E-04  -8.9319E+00    
+3.9716E+03  +1.6502E-04  -1.1493E+01    
+4.9999E+03  +1.3011E-04  -1.4675E+01    
+6.2945E+03  +1.0192E-04  -1.8621E+01    
+7.9245E+03  +7.9288E-05  -2.3447E+01    
+9.9760E+03  +6.0850E-05  -2.9297E+01    
+1.2559E+04  +4.5737E-05  -3.6213E+01    
+1.5811E+04  +3.3121E-05  -4.3504E+01    
+1.9905E+04  +2.3491E-05  -4.9654E+01    
+2.5058E+04  +1.6937E-05  -5.4549E+01    
+3.1547E+04  +1.2793E-05  -6.1141E+01    
+3.9715E+04  +9.7039E-06  -7.1790E+01    
+4.9999E+04  +7.0512E-06  -8.6092E+01    
+6.0000E+04  +5.2732E-06  -9.7727E+01    
                                         
                               
 FREQUENCY    MAGNITUDE      PHASE       
