Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 097    Date: 01/02/11    Time: 10:42:31


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0038E-01  +8.8487E+01   
+1.2328E-01  +2.0049E-01  +8.8169E+01    
+1.5199E-01  +2.0037E-01  +8.7781E+01    
+1.8738E-01  +2.0017E-01  +8.7297E+01    
+2.3101E-01  +2.0027E-01  +8.6672E+01    
+2.8480E-01  +2.0000E-01  +8.5922E+01    
+3.5112E-01  +1.9984E-01  +8.4995E+01    
+4.3288E-01  +1.9920E-01  +8.3905E+01    
+5.3367E-01  +1.9885E-01  +8.2505E+01    
+6.5790E-01  +1.9773E-01  +8.0786E+01    
+8.1110E-01  +1.9653E-01  +7.8744E+01    
+1.0000E+00  +1.9450E-01  +7.5943E+01    
+1.2329E+00  +1.9208E-01  +7.3365E+01    
+1.5199E+00  +1.8790E-01  +6.9621E+01    
+1.8738E+00  +1.8200E-01  +6.5417E+01    
+2.3101E+00  +1.7444E-01  +6.0653E+01    
+2.8481E+00  +1.6436E-01  +5.5246E+01    
+3.5112E+00  +1.5228E-01  +4.9571E+01    
+4.3288E+00  +1.3775E-01  +4.3537E+01    
+5.3368E+00  +1.2205E-01  +3.7606E+01    
+6.5790E+00  +1.0607E-01  +3.2025E+01    
+8.1110E+00  +9.0582E-02  +2.6965E+01    
+1.0000E+01  +7.6183E-02  +2.2334E+01    
+1.2329E+01  +6.3459E-02  +1.8514E+01    
+1.5199E+01  +5.2332E-02  +1.5102E+01    
+1.8738E+01  +4.3181E-02  +1.2180E+01    
+2.3102E+01  +3.5081E-02  +9.9090E+00    
+2.8481E+01  +2.8617E-02  +8.0714E+00    
+3.5112E+01  +2.3319E-02  +6.2448E+00    
+4.3288E+01  +1.9118E-02  +4.8669E+00    
+5.3368E+01  +1.5405E-02  +3.9597E+00    
+6.5790E+01  +1.2472E-02  +3.0658E+00    
+8.1110E+01  +1.0151E-02  +2.2337E+00    
+1.0000E+02  +8.2355E-03  +1.5568E+00    
+1.2329E+02  +6.6793E-03  +9.4983E-01    
+1.5199E+02  +5.4495E-03  +4.2121E-01    
+1.8739E+02  +4.3956E-03  -1.7315E-01    
+2.3102E+02  +3.5668E-03  -6.6545E-01    
+2.8481E+02  +2.8939E-03  -1.1683E+00    
+3.5113E+02  +2.3487E-03  -1.7982E+00    
+4.3289E+02  +1.9016E-03  -2.6118E+00    
+5.3368E+02  +1.5432E-03  -3.4423E+00    
+6.5790E+02  +1.2521E-03  -4.4621E+00    
+8.1120E+02  +1.0156E-03  -5.6832E+00    
+1.0000E+03  +8.2404E-04  -7.1567E+00    
+1.2329E+03  +6.6811E-04  -9.0353E+00    
+1.5200E+03  +5.4170E-04  -1.1320E+01    
+1.8739E+03  +4.3793E-04  -1.4206E+01    
+2.3102E+03  +3.5426E-04  -1.7770E+01    
+2.8481E+03  +2.8344E-04  -2.2540E+01    
+3.5113E+03  +2.2447E-04  -2.8131E+01    
+4.3289E+03  +1.7390E-04  -3.5356E+01    
+5.3369E+03  +1.2839E-04  -4.3530E+01    
