Calibration measurement with Solartron  
Metronix GmbH, Neue Knochenhauerstr.5, 38100 Braunschweig  
  
  Magnetometer: 119    Date: 07/24/99    Time: 17:04:37  
  

 FREQUENCY    MAGNITUDE      PHASE      
    Hz                     deg      
CHOPPER ON      
+1.0000E-01  +2.0033E-01  +8.8416E+01   
+1.2589E-01  +2.0018E-01  +8.7992E+01   
+1.5849E-01  +2.0025E-01  +8.7406E+01   
+1.9953E-01  +1.9941E-01  +8.6778E+01   
+2.5119E-01  +1.9971E-01  +8.6072E+01   
+3.1623E-01  +1.9883E-01  +8.5081E+01   
+3.9811E-01  +1.9896E-01  +8.4055E+01   
+5.0119E-01  +1.9726E-01  +8.2442E+01   
+6.3095E-01  +1.9592E-01  +8.0704E+01   
+7.9430E-01  +1.9432E-01  +7.8588E+01   
+1.0000E+00  +1.9245E-01  +7.5754E+01   
+1.2589E+00  +1.8742E-01  +7.2449E+01   
+1.5849E+00  +1.8447E-01  +6.8681E+01   
+1.9952E+00  +1.7736E-01  +6.4010E+01   
+2.5119E+00  +1.6830E-01  +5.8465E+01   
+3.1623E+00  +1.5634E-01  +5.2403E+01   
+3.9810E+00  +1.4251E-01  +4.6222E+01   
+5.0118E+00  +1.2551E-01  +3.9596E+01   
+6.3095E+00  +1.0784E-01  +3.3318E+01   
+7.9430E+00  +9.0951E-02  +2.7552E+01   
+1.0000E+01  +7.5173E-02  +2.2225E+01   
+1.2589E+01  +6.1438E-02  +1.8024E+01   
+1.5849E+01  +4.9678E-02  +1.4246E+01   
+1.9952E+01  +3.9881E-02  +1.1283E+01   
+2.5119E+01  +3.1945E-02  +8.9197E+00   
+3.1622E+01  +2.5492E-02  +6.7546E+00   
+3.9810E+01  +2.0312E-02  +5.2070E+00   
+6.3095E+01  +1.2818E-02  +2.7102E+00   
+7.9430E+01  +1.0191E-02  +1.7712E+00   
+1.0000E+02  +8.0870E-03  +8.7518E-01   
+1.2589E+02  +6.4136E-03  +1.4606E-01   
+1.5849E+02  +5.0777E-03  -8.0433E-01   
+1.9952E+02  +4.0409E-03  -1.4256E+00   
+2.5118E+02  +3.2019E-03  -2.3002E+00   
+3.1622E+02  +2.5416E-03  -3.2572E+00   
+3.9810E+02  +2.0152E-03  -4.3650E+00   
+5.0118E+02  +1.5968E-03  -5.6188E+00   
+6.3094E+02  +1.2635E-03  -7.2057E+00   
+7.9430E+02  +9.9645E-04  -9.1594E+00   
+1.0000E+03  +7.8499E-04  -1.1556E+01   
+1.2589E+03  +6.1331E-04  -1.4407E+01   
+1.5849E+03  +4.7571E-04  -1.7699E+01   
+1.9952E+03  +3.6481E-04  -2.1270E+01   
+2.5118E+03  +2.7724E-04  -2.4440E+01   
+3.1622E+03  +2.1651E-04  -2.6961E+01   
+3.9810E+03  +1.7660E-04  -3.3068E+01   
+5.0117E+03  +1.3720E-04  -4.4075E+01   
+6.3094E+03  +9.9050E-05  -5.6332E+01   
+7.9430E+03  +6.7517E-05  -6.8212E+01   
+9.9995E+03  +4.4540E-05  -7.8906E+01   
+1.0000E+04  +4.4532E-05  -7.8907E+01   
  

 FREQUENCY    MAGNITUDE      PHASE      
    Hz                     deg      
CHOPPER OFF  
