Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 102    Date: 01/02/11    Time: 13:51:14


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0021E-01  +8.8528E+01   
+1.2328E-01  +2.0025E-01  +8.8215E+01    
+1.5199E-01  +2.0039E-01  +8.7872E+01    
+1.8738E-01  +2.0004E-01  +8.7283E+01    
+2.3101E-01  +1.9990E-01  +8.6697E+01    
+2.8480E-01  +1.9979E-01  +8.5915E+01    
+3.5112E-01  +1.9972E-01  +8.5035E+01    
+4.3288E-01  +1.9921E-01  +8.3871E+01    
+5.3367E-01  +1.9863E-01  +8.2468E+01    
+6.5790E-01  +1.9762E-01  +8.0764E+01    
+8.1110E-01  +1.9639E-01  +7.8724E+01    
+1.0000E+00  +1.9434E-01  +7.6284E+01    
+1.2329E+00  +1.9119E-01  +7.3061E+01    
+1.5199E+00  +1.8762E-01  +6.9605E+01    
+1.8738E+00  +1.8215E-01  +6.5436E+01    
+2.3101E+00  +1.7398E-01  +6.0538E+01    
+2.8481E+00  +1.6386E-01  +5.5118E+01    
+3.5112E+00  +1.5195E-01  +4.9453E+01    
+4.3288E+00  +1.3766E-01  +4.3520E+01    
+5.3368E+00  +1.2193E-01  +3.7586E+01    
+6.5790E+00  +1.0589E-01  +3.2003E+01    
+8.1110E+00  +9.0320E-02  +2.6844E+01    
+1.0000E+01  +7.5996E-02  +2.2395E+01    
+1.2329E+01  +6.3394E-02  +1.8414E+01    
+1.5199E+01  +5.2223E-02  +1.5033E+01    
+1.8738E+01  +4.2510E-02  +1.2179E+01    
+2.3102E+01  +3.5013E-02  +9.9087E+00    
+2.8481E+01  +2.8499E-02  +8.1023E+00    
+3.5112E+01  +2.3221E-02  +6.4424E+00    
+4.3288E+01  +1.8815E-02  +5.5932E+00    
+5.3368E+01  +1.5345E-02  +3.9756E+00    
+6.5790E+01  +1.2488E-02  +3.0464E+00    
+8.1110E+01  +1.0111E-02  +2.3183E+00    
+1.0000E+02  +8.2162E-03  +1.6337E+00    
+1.2329E+02  +6.6536E-03  +1.0162E+00    
+1.5199E+02  +5.4119E-03  +7.5940E-02    
+1.8739E+02  +4.3785E-03  -1.3988E-01    
+2.3102E+02  +3.5557E-03  -6.1979E-01    
+2.8481E+02  +2.8824E-03  -1.2914E+00    
+3.5113E+02  +2.3466E-03  -1.8037E+00    
+4.3289E+02  +1.8983E-03  -2.5413E+00    
+5.3368E+02  +1.5404E-03  -3.3611E+00    
+6.5790E+02  +1.2506E-03  -4.3812E+00    
+8.1120E+02  +1.0149E-03  -5.6140E+00    
+1.0000E+03  +8.2392E-04  -7.1406E+00    
+1.2329E+03  +6.6866E-04  -9.0073E+00    
+1.5200E+03  +5.4195E-04  -1.1380E+01    
+1.8739E+03  +4.3893E-04  -1.4333E+01    
+2.3102E+03  +3.5556E-04  -1.8362E+01    
+2.8481E+03  +2.8238E-04  -2.3199E+01    
+3.5113E+03  +2.2246E-04  -2.9108E+01    
+4.3289E+03  +1.6970E-04  -3.6444E+01    
+5.3369E+03  +1.2106E-04  -4.2882E+01    
