Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 172    Date: 09/02/05    Time: 16:52:05


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9998E-01  +8.8542E+01    
+1.2589E-01  +2.0005E-01  +8.8184E+01    
+1.5849E-01  +1.9975E-01  +8.7725E+01    
+1.9953E-01  +1.9965E-01  +8.7161E+01    
+2.5119E-01  +1.9970E-01  +8.6426E+01    
+3.1623E-01  +1.9971E-01  +8.5518E+01    
+3.9811E-01  +1.9914E-01  +8.4383E+01    
+5.0119E-01  +1.9902E-01  +8.3013E+01    
+6.3095E-01  +1.9771E-01  +8.1213E+01    
+7.9430E-01  +1.9697E-01  +7.9112E+01    
+1.0000E+00  +1.9444E-01  +7.6327E+01    
+1.2589E+00  +1.9115E-01  +7.2968E+01    
+1.5849E+00  +1.8708E-01  +6.9042E+01    
+1.9952E+00  +1.7987E-01  +6.4110E+01    
+2.5119E+00  +1.7062E-01  +5.8665E+01    
+3.1623E+00  +1.5843E-01  +5.2522E+01    
+3.9810E+00  +1.4356E-01  +4.5992E+01    
+5.0118E+00  +1.2700E-01  +3.9465E+01    
+6.3095E+00  +1.0939E-01  +3.3152E+01    
+7.9430E+00  +9.2116E-02  +2.7470E+01    
+1.0000E+01  +7.6318E-02  +2.2444E+01    
+1.2589E+01  +6.2302E-02  +1.8097E+01    
+1.5849E+01  +5.0339E-02  +1.4453E+01    
+1.9952E+01  +4.0539E-02  +1.1549E+01    
+2.5119E+01  +3.2418E-02  +9.1339E+00    
+3.1622E+01  +2.5903E-02  +7.2342E+00    
+3.9810E+01  +2.0640E-02  +5.6195E+00    
+5.0118E+01  +1.6893E-02  +4.7197E+00    
+6.3095E+01  +1.3065E-02  +3.1925E+00    
+7.9430E+01  +1.0387E-02  +2.3065E+00    
+1.0000E+02  +8.2430E-03  +1.2746E+00    
+1.2589E+02  +6.5631E-03  +8.0385E-01    
+1.5849E+02  +5.2008E-03  +1.2151E-01    
+1.9952E+02  +4.1411E-03  -5.3197E-01    
+2.5118E+02  +3.2981E-03  -1.3172E+00    
+3.1622E+02  +2.6063E-03  -2.3841E+00    
+3.9810E+02  +2.0607E-03  -2.9161E+00    
+5.0118E+02  +1.6369E-03  -3.7829E+00    
+6.3094E+02  +1.2994E-03  -4.9169E+00    
+7.9430E+02  +1.0304E-03  -6.3460E+00    
+1.0000E+03  +8.1650E-04  -8.0883E+00    
+1.2589E+03  +6.4616E-04  -1.0264E+01    
+1.5849E+03  +5.1076E-04  -1.3014E+01    
+1.9952E+03  +4.0395E-04  -1.6736E+01    
+2.5118E+03  +3.1191E-04  -2.1103E+01    
+3.1622E+03  +2.3934E-04  -2.6881E+01    
+3.9810E+03  +1.7300E-04  -3.4015E+01    
+5.0117E+03  +1.1920E-04  -3.3934E+01    
+6.3094E+03  +9.7599E-05  -3.6287E+01    
+7.9430E+03  +7.5711E-05  -4.4978E+01    
+9.9995E+03  +5.5780E-05  -5.5057E+01    
+1.0000E+04  +5.5773E-05  -5.5057E+01    
                                         
                                
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8566E-01  +1.1476E+02    
+1.2589E+00  +1.9850E-01  +1.0488E+02    
+1.5849E+00  +2.0514E-01  +9.3822E+01    
+1.9953E+00  +2.0414E-01  +8.2491E+01    
+2.5119E+00  +1.9485E-01  +7.1443E+01    
+3.1623E+00  +1.7954E-01  +6.0828E+01    
+3.9811E+00  +1.5975E-01  +5.1002E+01    
+5.0119E+00  +1.3843E-01  +4.2208E+01    
+6.3095E+00  +1.1666E-01  +3.4443E+01    
+7.9430E+00  +9.6383E-02  +2.7824E+01    
+1.0000E+01  +7.8738E-02  +2.2411E+01    
+1.2589E+01  +6.3652E-02  +1.7923E+01    
+1.5849E+01  +5.1123E-02  +1.4238E+01    
+1.9952E+01  +4.0881E-02  +1.1358E+01    
+2.5119E+01  +3.2674E-02  +8.9335E+00    
+3.1623E+01  +2.6028E-02  +6.9151E+00    
+3.9810E+01  +2.0737E-02  +5.5121E+00    
+5.0118E+01  +1.6423E-02  +3.8974E+00    
+6.3095E+01  +1.3095E-02  +3.1055E+00    
+7.9430E+01  +1.0400E-02  +2.2215E+00    
+1.0000E+02  +8.2602E-03  +1.7083E+00    
+1.2589E+02  +6.5668E-03  +7.7790E-01    
+1.5849E+02  +5.2289E-03  +2.0518E-02    
+1.9952E+02  +4.1501E-03  -5.4693E-01    
+2.5119E+02  +3.2947E-03  -1.2818E+00    
+3.1622E+02  +2.6097E-03  -2.3660E+00    
+3.9810E+02  +2.0638E-03  -2.8956E+00    
+5.0118E+02  +1.6396E-03  -3.7555E+00    
+6.3095E+02  +1.3017E-03  -4.8715E+00    
+7.9430E+02  +1.0317E-03  -6.2755E+00    
+1.0000E+03  +8.1834E-04  -7.9989E+00    
+1.2589E+03  +6.4808E-04  -1.0161E+01    
+1.5849E+03  +5.1212E-04  -1.2895E+01    
+1.9952E+03  +4.0455E-04  -1.6670E+01    
+2.5118E+03  +3.1266E-04  -2.1120E+01    
+3.1622E+03  +2.3981E-04  -2.6930E+01    
+3.9810E+03  +1.7329E-04  -3.4095E+01    
+5.0118E+03  +1.1923E-04  -3.3992E+01    
+6.3094E+03  +9.7577E-05  -3.6298E+01    
+7.9430E+03  +7.5729E-05  -4.4976E+01    
+1.0000E+04  +5.5786E-05  -5.5040E+01    
  
