#
# Example input file for strike
#
>STATION   :example
>STATION_RR:
>AZIMUTH   =         0.0
>LATITUDE  =         0.0
>LONGITUDE =         0.0
>ELEVATION =         0.0
EXAMPLE    0.0
RXX
   25
 640.00       7551.0     -114.8  7713.      7399.      -113.3 -116.2 0.79 0.79
 853.33       7036.8     -107.8  7129.      6950.      -106.6 -109.0 0.85 0.85
 1280.0       5306.0     -106.3  5332.      5280.      -105.8 -106.8 0.83 0.83
 1706.7       5885.9     -106.9  5968.      5810.      -105.5 -108.2 0.87 0.87
 2560.0       4285.5     -105.4  4310.      4262.      -104.8 -106.0 0.88 0.88
 3413.3       4839.1     -109.3  4876.      4803.      -108.7 -110.0 0.90 0.90
 5120.0       3596.1     -100.4  3639.      3560.       -98.6 -102.1 0.92 0.92
 6826.7       2304.6     -106.2  2369.      2250.      -103.6 -108.9 0.87 0.87
 10240.       2371.4     -103.0  2388.      2356.      -102.1 -103.9 0.91 0.91
 13653.       2789.3      -83.0  2801.      2779.       -82.0  -83.9 0.67 0.67
RYY
   25
 4.0000       2729.9     -127.4  2751.      2709.      -127.0 -127.7 0.44 0.44
 5.3333       2388.5     -112.0  2391.      2386.      -112.0 -112.1 0.32 0.32
 8.0000       3912.8     -123.2  4231.      3633.      -119.2 -127.2 0.37 0.37
 10.667       3859.5     -114.7  4016.      3719.      -112.1 -117.4 0.49 0.49
 16.000       2134.7      -94.8  2211.      2122.       -87.9 -101.8 0.30 0.30
 20.000       3317.0     -104.7  3342.      3293.      -103.8 -105.5 0.35 0.35
 26.667       2421.9      -95.8  2430.      2415.       -95.0  -96.7 0.32 0.32
 40.000       2053.7      -87.1  2059.      2050.       -85.8  -88.4 0.37 0.37
 53.333       1462.6      -81.4  1483.      1447.       -79.0  -83.7 0.30 0.30
 80.000       1034.3      -65.9  1079.      994.8       -63.1  -68.8 0.26 0.26
 106.67       230.83      -72.0  252.0      216.7       -64.9  -79.0 0.10 0.10
 160.00       782.56      -75.1  816.1      757.3       -70.9  -79.2 0.28 0.28
 213.33       30.263      -54.4  62.76      20.05       -23.2  -85.7 0.01 0.01
 320.00       22.428      -70.4  31.55      19.97       -49.4  -91.5 0.02 0.02
 426.67       94.014     -103.0  106.1      89.35       -91.8 -114.2 0.02 0.02
 640.00       10.223      -76.6  21.98      13.77       -35.7 -117.4 0.01 0.01
 853.33       3.2550      -81.1  12.09      9.057       -24.8 -137.4 0.00 0.00
 1280.0       2.4471       54.5  3.886      1.719        75.4   33.6 0.01 0.01
 1706.7       77.472      101.5  86.51      74.37       112.6   90.5 0.05 0.05
 2560.0       58.435      110.6  63.33      54.80       116.5  104.6 0.04 0.04
 3413.3       35.259      119.3  41.44      30.76       128.1  110.5 0.12 0.12
 5120.0       41.214      130.5  64.99      27.54       149.8  111.2 0.05 0.05
 6826.7       39.817       48.6  85.75      22.57        79.6   17.7 0.04 0.04
 10240.       409.08       76.1  412.3      406.1        77.0   75.2 0.31 0.31
 13653.       245.39     -156.8  256.2      234.9      -155.4 -158.1 0.06 0.06
